hh	qty	exp	nopurch	b1	b2	b3	b4	p1	p2	p3	p4	f1	f2	f3	f4	tripnum
1	2	40.900002	0	0	0	0	1	.11	.079999998	.059999999	.079999998	0	0	0	0	1
1	0	8.8299999	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	2
1	0	3.8800001	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	3
1	0	.77999997	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	4
1	0	39.240002	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	5
1	0	19.27	1	0	0	0	0	.11	.090000004	.059999999	.079999998	0	0	0	0	6
1	0	2.3499999	1	0	0	0	0	.1	.090000004	.029999999	.079999998	0	0	0	0	7
1	0	3.4300001	1	0	0	0	0	.1	.090000004	.029999999	.079999998	0	0	0	0	8
1	0	66.980003	1	0	0	0	0	.11	.079999998	.07	.079999998	0	0	0	0	9
1	0	21.940001	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	10
1	0	15.5	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	11
1	0	6.9899998	1	0	0	0	0	.11	.090000004	.059999999	.079999998	0	0	0	0	12
1	2	16.809999	0	0	1	0	0	.11	.1	.059999999	.079999998	0	0	0	0	13
1	0	46.990002	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	14
1	0	52.189999	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	15
1	0	11.82	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	16
1	0	43.889999	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	17
1	0	7.77	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	18
1	0	47.25	1	0	0	0	0	.11	.090000004	.07	.079999998	0	0	0	0	19
1	0	3.49	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	20
1	0	26.450001	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	21
1	0	82.639999	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	22
1	0	27.68	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	23
1	0	19.639999	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	1	24
1	0	30.82	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	25
1	0	39.41	1	0	0	0	0	.12	.090000004	.059999999	.07	0	0	0	1	26
1	0	42.060001	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	27
1	0	4.3699999	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	28
1	0	5.0799999	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	29
1	0	33.310001	1	0	0	0	0	.11	.090000004	.07	.090000004	0	0	0	0	30
1	2	4.0599999	0	0	1	0	0	.11	.1	.059999999	.090000004	0	0	0	0	31
1	2	34.459999	0	0	1	0	0	.11	.1	.059999999	.090000004	0	0	0	0	32
1	0	13.48	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	33
1	2	8.3900003	0	0	1	0	0	.13	.1	.050000001	.079999998	0	0	0	0	34
1	0	40.779999	1	0	0	0	0	.11	.079999998	.059999999	.090000004	0	0	0	0	35
1	0	14.14	1	0	0	0	0	.11	.059999999	.059999999	.090000004	0	0	0	0	36
1	0	58.5	1	0	0	0	0	.12	.079999998	.07	.090000004	0	0	0	0	37
1	0	20.01	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	38
1	0	31.950001	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	39
1	0	37.639999	1	0	0	0	0	.11	.059999999	.059999999	.090000004	0	1	0	0	40
1	0	26.190001	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	41
1	0	3.4300001	1	0	0	0	0	.11	.07	.059999999	.090000004	0	0	0	0	42
1	2	60.990002	0	0	1	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	43
1	0	11.89	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	44
1	0	5.6300001	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	45
1	0	14.6	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	46
1	0	43.060001	1	0	0	0	0	.11	.1	.07	.090000004	0	0	0	0	47
1	0	22.52	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	48
1	0	14.76	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	49
1	0	38.529999	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	50
1	0	51.599998	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	51
1	0	8.9200001	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	52
1	0	4.46	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	53
1	0	14.8	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	54
1	0	34.560001	1	0	0	0	0	.11	.07	.050000001	.079999998	0	0	0	0	55
1	1	20.790001	0	0	1	0	0	.1	.079999998	.050000001	.079999998	0	0	0	0	56
1	0	14.82	1	0	0	0	0	.1	.090000004	.050000001	.079999998	0	0	0	0	57
1	0	59.369999	1	0	0	0	0	.1	.079999998	.050000001	.079999998	0	1	0	0	58
1	0	28.99	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	59
1	0	12.32	1	0	0	0	0	.12	.090000004	.059999999	.079999998	0	0	0	0	60
1	0	1.59	1	0	0	0	0	.1	.079999998	.050000001	.079999998	0	0	0	0	61
1	0	10.23	1	0	0	0	0	.12	.090000004	.059999999	.079999998	0	0	0	0	62
1	0	55.490002	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	63
1	0	1.29	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	64
1	0	36.490002	1	0	0	0	0	.13	.090000004	.050000001	.079999998	0	0	0	0	65
1	0	14.59	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	66
1	0	11.11	1	0	0	0	0	.12	.090000004	.059999999	.079999998	0	0	0	0	67
1	0	51.5	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	68
1	0	3.28	1	0	0	0	0	.11	.079999998	.07	.079999998	0	0	0	0	69
1	0	12.86	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	70
1	0	26.27	1	0	0	0	0	.11	.090000004	.050000001	.079999998	0	0	0	0	71
1	0	37.080002	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	72
1	0	2.23	1	0	0	0	0	.11	.059999999	.050000001	.079999998	0	0	0	0	73
1	0	52.279999	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	74
1	0	27.17	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	75
1	0	11.48	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	76
1	0	17.969999	1	0	0	0	0	.11	.079999998	.059999999	.090000004	0	0	0	0	77
1	0	78.290001	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	78
1	0	133.64	1	0	0	0	0	.11	.079999998	.050000001	.079999998	0	0	0	0	79
1	0	13.99	1	0	0	0	0	.12	.079999998	.029999999	.079999998	0	0	1	0	80
1	0	18.4	1	0	0	0	0	.11	.039999999	.050000001	.079999998	0	1	0	0	81
1	0	13.17	1	0	0	0	0	.11	.039999999	.050000001	.079999998	0	1	0	0	82
1	0	18.76	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	83
1	0	20.15	1	0	0	0	0	.11	.079999998	.02	.079999998	0	0	0	0	84
1	0	26.27	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	85
1	0	20.379999	1	0	0	0	0	.11	.079999998	.059999999	.079999998	0	0	0	0	86
1	0	41.98	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	87
1	0	14.59	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	88
1	0	29.129999	1	0	0	0	0	.11	.07	.050000001	.079999998	0	0	0	0	89
1	0	12.77	1	0	0	0	0	.12	.090000004	.059999999	.090000004	0	0	0	0	90
1	0	25.33	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	91
1	0	52.439999	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	92
1	0	3.48	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	93
1	0	26.16	1	0	0	0	0	.15000001	.079999998	.050000001	.090000004	0	0	0	0	94
1	0	10.16	1	0	0	0	0	.11	.039999999	.050000001	.079999998	0	1	0	0	95
1	0	35.150002	1	0	0	0	0	.12	.090000004	.050000001	.079999998	0	0	0	0	96
1	0	44.630001	1	0	0	0	0	.11	.050000001	.050000001	.079999998	0	0	0	0	97
1	0	12.64	1	0	0	0	0	.11	.059999999	.050000001	.079999998	0	0	0	0	98
1	0	59.490002	1	0	0	0	0	.090000004	.090000004	.050000001	.079999998	0	0	0	0	99
