start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_beta,start_gamma,opt_beta,opt_gamma,opt_sigma
20,-6316.929344851099,173.13795518875122,False,Desired error not necessarily achieved due to precision loss.,196.0,"[  1.84554108   1.97991202   2.93060393   1.72007018   2.3345526
 -55.32298448   2.53087791]","[-1.6467336  -2.2525132  -0.28643388  2.3270845  -0.4469826  -0.22579685
 -1.32364901  2.90985652  2.00879249  1.09104576  1.55085896 -1.97635674
 -1.23454646 -0.83922163 -0.10734041 -0.4761341  -2.01695084 -2.14046249
  2.23577348  2.96526761 -1.06108728 -2.15239598  2.72284609 -1.84020319
 -0.21095282  0.75571394 -0.85675763 -0.02737365]","[  0.51763358  -0.54137755  -3.68889225  -2.11072034   0.3953694
 -41.90098653   1.35920651]","[[ 2.26954562e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.62354264e+00  2.09139956e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.49810364e+00  7.06129221e-01  1.64657843e-09  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.18073913e+00 -3.17808301e-01  7.53931548e-01  1.74193263e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.20845818e-01 -6.26556390e-01  2.05143796e-01  2.39326713e-01
   3.39345700e-08  0.00000000e+00  0.00000000e+00]
 [-2.46337931e+01 -5.40226305e+00  2.57777601e-01 -2.46114400e+00
  -9.94418476e+00  6.52737268e+00  0.00000000e+00]
 [-3.36050916e-01 -2.22257238e-02 -2.61984728e-01  3.66076560e-01
   1.33628880e-01 -4.80818994e-01  1.09992847e-01]]","[[ 5.15083734e+00  5.95424971e+00  5.66956019e+00  2.67974133e+00
   5.01219659e-01 -5.59075172e+01 -7.62682885e-01]
 [ 5.95424971e+00  1.12569281e+01  8.03067976e+00  2.43305532e+00
  -7.30981339e-01 -7.59260969e+01 -9.28126774e-01]
 [ 5.66956019e+00  8.03067976e+00  6.73914030e+00  2.72519501e+00
   1.09265967e-01 -6.53524640e+01 -8.55184251e-01]
 [ 2.67974133e+00  2.43305532e+00  2.72519501e+00  5.09788908e+00
   1.03144151e+00 -3.14619998e+01  5.04372057e-02]
 [ 5.01219659e-01 -7.30981339e-01  1.09265967e-01  1.03144151e+00
   5.40707038e-01 -2.59158411e+00 -2.64224071e-02]
 [-5.59075172e+01 -7.59260969e+01 -6.53524640e+01 -3.14619998e+01
  -2.59158411e+00  7.83625290e+02  2.96246196e+00]
 [-7.62682885e-01 -9.28126774e-01 -8.55184251e-01  5.04372057e-02
  -2.64224071e-02  2.96246196e+00  5.77214256e-01]]"
4,-6326.615647892379,222.5664563179016,True,Optimization terminated successfully.,256.0,"[  0.65887088   1.34369051  -8.51890848  -0.05948999   3.20921446
 -33.30514993  -0.68617147]","[-2.12936984  0.12084034 -1.84197728 -0.86122181  0.62394549  2.25120846
  0.60328612 -1.29866181  1.97385742  2.26963354  1.48986525  0.01281262
 -0.11400183 -0.34571828 -0.25157933 -2.17344596 -2.57986779  2.72549659
  1.22488315 -2.60859803 -2.07959684  1.65704158 -1.2465276  -1.02755744
 -0.92977566 -1.69371825  2.70645384 -2.88210477]","[  0.25146037  -0.83487699  -4.55100266  -2.30670806   0.35061088
 -38.2769965    1.23330696]","[[ 2.20559425e+000  0.00000000e+000  0.00000000e+000  0.00000000e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 1.30038495e+000  2.68359508e+000  0.00000000e+000  0.00000000e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 2.00263447e+000  1.87147647e+000  1.11067322e+000  0.00000000e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 4.77828602e-001  4.36100595e-002  1.39521753e+000  3.92921835e-002
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 4.03199349e-001 -2.69471910e-001  3.54533366e-001 -1.70921643e-002
   7.60856299e-011  0.00000000e+000  0.00000000e+000]
 [-1.72204049e+001 -1.25415524e+001 -2.94707621e+000 -1.01276227e+001
   6.95015964e+000  5.91259758e-119  0.00000000e+000]
 [-5.15399594e-001 -2.00702708e-001  1.87161060e-001  2.54387437e-001
  -4.80519335e-001  3.60525004e-001  2.72834740e-002]]","[[ 4.86464601e+00  2.86812158e+00  4.41699907e+00  1.05389602e+00
   8.89294167e-01 -3.79812261e+01 -1.13676238e+00]
 [ 2.86812158e+00  8.89268357e+00  7.62648077e+00  7.38392865e-01
  -1.98839124e-01 -5.60496036e+01 -1.20882268e+00]
 [ 4.41699907e+00  7.62648077e+00  8.74656397e+00  2.58816197e+00
   6.96921290e-01 -6.12306352e+01 -1.19989261e+00]
 [ 1.05389602e+00  7.38392865e-01  2.58816197e+00  2.17839784e+00
   6.74888074e-01 -1.32850887e+01  1.61005049e-02]
 [ 8.89294167e-01 -1.98839124e-01  6.96921290e-01  6.74888074e-01
   3.61170875e-01 -4.43539384e+00 -9.17182300e-02]
 [-3.79812261e+01 -5.60496036e+01 -6.12306352e+01 -1.32850887e+01
  -4.43539384e+00  6.13391601e+02  4.92490924e+00]
 [-1.13676238e+00 -1.20882268e+00 -1.19989261e+00  1.61005049e-02
  -9.17182300e-02  4.92490924e+00  7.67282048e-01]]"
19,-6329.925833949917,193.53460311889648,True,Optimization terminated successfully.,251.0,"[ 1.6917789  -2.37431204 -2.4194113  -4.76809756  2.88132677 12.45703754
  4.87078702]","[ 0.0875448  -1.4173779  -1.59164827  1.81004344 -1.96275065  1.95440667
 -1.95367846  1.64882993  0.6609899   2.0938445   1.32290375 -1.337976
  0.43191868 -2.27063184  2.93884283  2.10774838  0.64291799  1.10914163
  1.07278198  1.85711747 -0.2594645  -2.08943351  0.72538537  1.03162337
 -2.64576358 -2.10075954 -1.74767697  0.00663431]","[  0.31846101  -1.03475148  -4.17301487  -2.69597063   0.32874434
 -38.46374382   1.40891807]","[[ 3.24949129e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.69985946e+00  2.46052640e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.79447616e+00  1.49105217e+00  8.39156500e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 7.01769237e-01  1.26358722e+00  1.60652540e+00  3.85425952e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 4.25190942e-01 -7.78448099e-02  4.41379413e-01  1.13913790e-01
   3.09885366e-12  0.00000000e+00  0.00000000e+00]
 [-1.86437185e+01 -1.18054006e+01 -2.44123886e+00  3.15579686e+00
  -1.11609752e+01  3.91385412e-01  0.00000000e+00]
 [-3.36637486e-01 -2.68277524e-01  2.99658527e-01  2.12904509e-01
   4.68128066e-01  8.40850181e-01  1.49861518e-01]]","[[ 1.05591936e+01  5.52367852e+00  5.83113464e+00  2.28039302e+00
   1.38165426e+00 -6.05826008e+01 -1.09390058e+00]
 [ 5.52367852e+00  8.94371237e+00  6.71913050e+00  4.30199879e+00
   5.31225636e-01 -6.07392012e+01 -1.23234035e+00]
 [ 5.83113464e+00  6.71913050e+00  6.14756487e+00  4.49150885e+00
   1.01731074e+00 -5.31067579e+01 -7.52643324e-01]
 [ 2.28039302e+00  4.30199879e+00  4.49150885e+00  4.81860974e+00
   9.53014784e-01 -3.07063276e+01 -1.17659252e-02]
 [ 1.38165426e+00  5.31225636e-01  1.01731074e+00  9.53014784e-01
   3.94639289e-01 -7.72617484e+00  3.42646676e-02]
 [-6.05826008e+01 -6.07392012e+01 -5.31067579e+01 -3.07063276e+01
  -7.72617484e+00  6.27594973e+02  4.48797427e+00]
 [-1.09390058e+00 -1.23234035e+00 -7.52643324e-01 -1.17659252e-02
   3.42646676e-02  4.48797427e+00  1.26905258e+00]]"
15,-6333.526492934445,214.069744348526,True,Optimization terminated successfully.,251.0,"[   1.99022965   -3.06246355   -5.68497842    2.16927687   -2.18217865
 -157.87566494   -2.38333264]","[-0.33720189 -2.14147819  3.12250989  2.85078632 -2.53434534  2.20656339
 -2.03837279 -2.79786189 -0.06407993 -1.98065327 -1.81337836  1.37213091
  2.81510666  1.51010389 -1.88559765  2.76831355  0.54275573 -0.08432822
  0.3264325  -0.29403689 -2.17890085 -1.02735583 -2.32323393  0.07824421
  1.7782287   0.24151117  0.64230618  2.48585175]","[  0.28987124  -0.26547938  -3.96086278  -2.4322108    0.16325845
 -39.05143792   1.38241193]","[[ 2.67019207e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.61227380e+00  2.20604415e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.86301205e+00  8.22898332e-01  3.36096008e-12  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.70845095e+00 -1.37962052e-01  1.59923571e+00  1.37328869e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 4.38132193e-01 -4.62348481e-01  1.24992712e-01  1.19791808e-01
   2.31347987e-01  0.00000000e+00  0.00000000e+00]
 [-2.78700722e+01 -9.36581848e+00 -8.07852453e+00  6.92898102e+00
   3.57480836e+00  2.74499073e+00  0.00000000e+00]
 [-3.13014217e-01  4.11221660e-01  7.81035340e-01  2.24497529e-01
   1.65549075e-01 -2.90082509e-01  6.92687539e-01]]","[[ 7.12992570e+00  6.97527279e+00  7.64479208e+00  4.56189217e+00
   1.16989711e+00 -7.44184457e+01 -8.35808079e-01]
 [ 6.97527279e+00  1.16906052e+01  9.29432142e+00  4.15859126e+00
   1.24560087e-01 -9.34656684e+01  8.94943014e-02]
 [ 7.64479208e+00  9.29432142e+00  8.87399967e+00  4.77778690e+00
   8.73911956e-01 -8.74994689e+01 -5.57769856e-01]
 [ 4.56189217e+00  4.15859126e+00  4.77778690e+00  7.38131485e+00
   1.17671545e+00 -4.97264972e+01  9.65857106e-01]
 [ 1.16989711e+00  1.24560087e-01  8.73911956e-01  1.17671545e+00
   4.89221083e-01 -7.23320070e+00 -1.64453179e-01]
 [-7.44184457e+01 -9.34656684e+01 -8.74994689e+01 -4.97264972e+01
  -7.23320070e+00  9.98047044e+02 -8.62402329e-02]
 [-8.35808079e-01  8.94943014e-02 -5.57769856e-01  9.65857106e-01
  -1.64453179e-01 -8.62402329e-02  1.51886688e+00]]"
0,-6340.088868217941,133.69836354255676,True,Optimization terminated successfully.,132.0,[  0.5  -1.   -4.   -2.    0.5 -40.    1.5],"[0.69314718 0.         0.69314718 0.         0.         0.69314718
 0.         0.         0.         0.69314718 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.30258509 0.         0.         0.
 0.         0.         0.         0.        ]","[  0.6878951   -0.83150073  -4.03666986  -2.03742492   0.482791
 -39.74956121   1.1507735 ]","[[ 3.02959022e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.78336449e+00  1.87222439e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.89027363e+00  1.73991010e+00  6.71311603e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.16928586e+00  4.86360022e-01  4.84860757e-01  1.87949304e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.50928168e-01  1.15288972e-01  4.67491937e-01  1.28911348e-01
   3.11865862e-12  0.00000000e+00  0.00000000e+00]
 [-1.84052101e+01 -5.93037181e+00 -1.85938396e+00  2.48881144e+00
  -3.78526416e+00  1.10657641e+01  0.00000000e+00]
 [-2.47020570e-01  5.50940623e-02 -4.37491742e-01  4.91798904e-01
   4.28399102e-01 -4.99368995e-01  5.03699793e-02]]","[[ 9.17841691e+00  5.40286363e+00  5.72675451e+00  6.57204724e+00
   1.06316855e+00 -5.57602446e+01 -7.48371104e-01]
 [ 5.40286363e+00  6.68561308e+00  6.62854900e+00  4.77920248e+00
   8.41679659e-01 -4.39261849e+01 -3.37379266e-01]
 [ 5.72675451e+00  6.62854900e+00  7.05108082e+00  5.27225924e+00
   1.17777547e+00 -4.63574232e+01 -6.64771037e-01]
 [ 6.57204724e+00  4.77920248e+00  5.27225924e+00  8.70993128e+00
   1.28629194e+00 -3.90342964e+01  2.03147358e-01]
 [ 1.06316855e+00  8.41679659e-01  1.17777547e+00  1.28629194e+00
   3.71608973e-01 -7.69102411e+00 -2.21460141e-01]
 [-5.57602446e+01 -4.39261849e+01 -4.63574232e+01 -3.90342964e+01
  -7.69102411e+00  5.20351920e+02 -8.90306181e-01]
 [-7.48371104e-01 -3.37379266e-01 -6.64771037e-01  2.03147358e-01
  -2.21460141e-01 -8.90306181e-01  9.32752023e-01]]"
11,-6351.322231376545,187.9512140750885,True,Optimization terminated successfully.,219.0,"[  -1.89180552   -0.61840877  -15.60020541   -2.85376802   -1.3978286
 -126.20314723    4.09589942]","[-1.1965286   2.03804776  1.23968096  1.70288025  0.99238679  2.02674664
  1.8738404  -1.5762751  -1.87870816  3.18562005 -0.23912528 -0.03033154
 -1.1007863  -2.14344959  2.60855735  0.47830782 -1.09823703 -1.00310791
 -1.67297202  0.47085298  3.92377378  2.50862569  1.1230653  -2.36902219
  0.41884811 -2.5532957   1.28816779 -0.70730638]","[  0.56736196  -0.40274456  -3.90928461  -1.73311996   0.17325948
 -41.21955466   1.25394514]","[[  2.01427519   0.           0.           0.           0.
    0.           0.        ]
 [  3.33818775   1.35951481   0.           0.           0.
    0.           0.        ]
 [  1.97551967   0.86065735   1.02524633   0.           0.
    0.           0.        ]
 [  1.22359035   0.06170343   0.30796968   1.69205433   0.
    0.           0.        ]
 [  0.06091885  -0.47550585   0.66851387   0.16774941   0.09973676
    0.           0.        ]
 [-21.06081973  -8.68768041  -3.63996941   1.18261554  -3.03064203
    9.54572169   0.        ]
 [ -0.29918971   0.07509817   0.13159586   0.23905823  -0.30308928
   -0.58645748   0.39331083]]","[[ 4.05730453e+00  6.72402875e+00  3.97924025e+00  2.46464767e+00
   1.22707333e-01 -4.24222866e+01 -6.02650414e-01]
 [ 6.72402875e+00  1.29917780e+01  7.76473197e+00  4.16846104e+00
  -4.43098680e-01 -8.21160006e+01 -8.96654356e-01]
 [ 3.97924025e+00  7.76473197e+00  5.69453908e+00  2.78607710e+00
   3.96490184e-01 -5.28150449e+01 -3.91503196e-01]
 [ 2.46464767e+00  4.16846104e+00  2.78607710e+00  4.45887383e+00
   5.34922494e-01 -2.54258259e+01  8.35752115e-02]
 [ 1.22707333e-01 -4.43098680e-01  3.96490184e-01  5.34922494e-01
   7.14815006e-01  3.10788476e-01  4.39104761e-02]
 [-4.24222866e+01 -8.21160006e+01 -5.28150449e+01 -2.54258259e+01
   3.10788476e-01  6.33987469e+02  7.72855971e-01]
 [-6.02650414e-01 -8.96654356e-01 -3.91503196e-01  8.35752115e-02
   4.39104761e-02  7.72855971e-01  7.60109425e-01]]"
23,-6357.320241075389,236.38930821418762,True,Optimization terminated successfully.,230.0,"[  -0.92838421   -0.8249799    -4.75749248   -7.48729048   -1.26107345
 -150.05777859    0.7797116 ]","[ 1.15981815  0.7614944   1.42960073  1.46992098 -2.68593552  2.5862729
 -0.3446699   2.64968225 -1.12104151 -2.10335755 -1.0145244  -1.95184926
 -0.57981646  2.22338705  2.71939109 -1.79631724  1.76742807  0.09512943
  2.07336181 -0.78895384  0.70974682  1.50141607  0.18117294  1.8985155
 -1.75917579  1.78149813  1.66504159 -1.1094418 ]","[  0.57242369  -0.93024312  -4.39520501  -1.8068865    0.37337979
 -39.36608615   1.35097319]","[[ 1.95135126e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.17784729e+00  1.66122852e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.53527967e+00  1.12955678e+00  8.20771293e-35  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.25601459e+00  6.23240650e-01  1.65235778e+00  8.84101294e-17
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 5.76059790e-01 -1.44174480e-01  1.77231488e-01 -7.99102185e-02
   3.42776865e-65  0.00000000e+00  0.00000000e+00]
 [-1.08163104e+01 -5.15952602e+00 -2.01104759e+00  5.55010527e+00
  -5.73364167e+00  9.66200576e+00  0.00000000e+00]
 [-3.55502635e-01  1.14225214e-01  2.19381975e-01 -9.36792167e-02
   4.96972617e-01 -9.80817650e-02  7.45047688e-13]]","[[ 3.80777173e+00  2.29839379e+00  4.94722117e+00  2.45092565e+00
   1.12409500e+00 -2.11064208e+01 -6.93710513e-01]
 [ 2.29839379e+00  4.14700442e+00  4.86262422e+00  2.51473852e+00
   4.39003706e-01 -2.13111136e+01 -2.28973633e-01]
 [ 4.94722117e+00  4.86262422e+00  7.70354150e+00  3.88833395e+00
   1.29761941e+00 -3.32503493e+01 -7.72274736e-01]
 [ 2.45092565e+00  2.51473852e+00  3.88833395e+00  4.69628779e+00
   9.26533934e-01 -2.01240401e+01 -1.28291875e-02]
 [ 1.12409500e+00  4.39003706e-01  1.29761941e+00  9.26533934e-01
   3.90427805e-01 -6.28690057e+00 -1.74891813e-01]
 [-2.11064208e+01 -2.13111136e+01 -3.32503493e+01 -2.01240401e+01
  -6.28690057e+00  3.04690262e+02 -1.50236773e+00]
 [-6.93710513e-01 -2.28973633e-01 -7.72274736e-01 -1.28291875e-02
  -1.74891813e-01 -1.50236773e+00  4.52935583e-01]]"
6,-6358.718037926748,154.35371851921082,False,Desired error not necessarily achieved due to precision loss.,134.0,"[ -0.49047689   0.32325881  -5.89699052   2.11923549  -0.98028214
 -68.46249132   4.31032046]","[ 0.74215032 -2.42012612  1.64810582  0.91226396 -0.41813687  1.11600921
  0.05860601 -0.31576863  2.48178726 -0.5572753   2.18642639 -2.66966096
  1.49007413 -2.90746512  2.82640787 -0.4991412  -2.47799853 -1.04563183
 -1.86089496 -2.66627666  1.37494872  1.64846824  2.4567152   1.01254097
 -0.53018359  2.67781338  2.11188524  2.3001704 ]","[  0.55257562  -0.25326357  -4.00621062  -1.91491702   0.50890609
 -43.1496683    1.31373644]","[[ 6.16785798e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.45296602e+00  1.93288510e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 7.74908631e-01  1.65825131e+00  5.19359267e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.32362520e+00 -1.76335608e-01  7.04159532e-01  1.51068093e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.31454849e-01  1.70125837e-01  6.05791604e-01 -1.89153357e-01
   7.18349484e-02  0.00000000e+00  0.00000000e+00]
 [ 3.50502654e+00 -6.26341706e+00 -2.29452878e+00 -3.75735898e+00
   1.38796111e+00  1.17809061e+01  0.00000000e+00]
 [ 4.07530680e-01 -3.19148517e-01  9.21157578e-02  6.26275866e-01
  -2.24031731e-01 -4.42152130e-01  9.85505043e-01]]","[[ 3.80424720e-13 -8.96168806e-07  4.77952638e-07  8.16393223e-07
   2.04436644e-07  2.16185059e-06  2.51359135e-07]
 [-8.96168806e-07  5.84715506e+00  2.07929335e+00 -2.26401890e+00
  -1.52758937e-01 -1.71991499e+01 -1.20900564e+00]
 [ 4.77952638e-07  2.07929335e+00  3.62001486e+00  1.09899161e+00
   8.53582100e-01 -8.86192904e+00 -1.65588234e-01]
 [ 8.16393223e-07 -2.26401890e+00  1.09899161e+00  4.56107544e+00
   5.49546309e-01 -1.54807999e+00  1.60666232e+00]
 [ 2.04436644e-07 -1.52758937e-01  8.53582100e-01  5.49546309e-01
   5.46727838e-01 -4.83396119e-01  2.03007355e-03]
 [ 2.16185059e-06 -1.71991499e+01 -8.86192904e+00 -1.54807999e+00
  -4.83396119e-01  2.11614398e+02 -4.65703946e+00]
 [ 2.51359135e-07 -1.20900564e+00 -1.65588234e-01  1.60666232e+00
   2.03007355e-03 -4.65703946e+00  1.88555272e+00]]"
1,-6364.021557876536,355.3751630783081,True,Optimization terminated successfully.,410.0,"[ -0.99475204  -1.43152814 -10.98919639   2.88209995   2.86988809
 -59.58500342   2.96430178]","[ 1.7124907   0.8891923   1.47419167  1.00438212 -1.51365189  2.0273122
 -0.35860047  0.82301817 -0.22248415  3.48381693  1.37782606 -1.93264653
 -1.09568153  0.8748633   2.16323001  0.79228822 -0.44682761 -0.57920371
 -2.66832685 -1.57534458  8.34002089  0.75935236 -0.40391714  0.17658487
 -2.9854357  -2.96674861 -0.26804495  2.57240178]","[  0.66551981  -0.49526041  -4.3674229   -2.13016696   0.32037528
 -39.05288318   1.33612637]","[[ 9.03655105e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.18460957e-01  1.68061452e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 7.74118706e-01  1.72156663e+00  7.04973690e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 6.14049681e-01  2.87327921e-01  1.65581706e+00  1.09847072e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.39966249e-01  1.73221406e-01  1.23572550e-01 -9.82890904e-02
   1.70089360e-11  0.00000000e+00  0.00000000e+00]
 [-2.90925086e+00 -8.69339670e+00 -1.01455557e+00 -2.04580110e+00
   6.59119922e-01  1.17990316e+01  0.00000000e+00]
 [ 1.79811163e-01  2.42403362e-01  6.60968999e-02  6.75613229e-01
  -1.90755094e-01 -2.27143166e-01  9.78085329e-01]]","[[ 8.16592549e-01 -4.68509891e-01  6.99536321e-01  5.54889129e-01
   3.07212236e-01 -2.62895939e+00  1.62487275e-01]
 [-4.68509891e-01  3.09326694e+00  2.49193955e+00  1.64526692e-01
   1.14859183e-01 -1.31019158e+01  3.14161543e-01]
 [ 6.99536321e-01  2.49193955e+00  4.06003934e+00  2.13730896e+00
   6.48501821e-01 -1.79336022e+01  6.03105299e-01]
 [ 5.54889129e-01  1.64526692e-01  2.13730896e+00  4.40798239e+00
   3.55173362e-01 -8.21145118e+00  1.03164797e+00]
 [ 3.07212236e-01  1.14859183e-01  6.48501821e-01  3.55173362e-01
   1.70513626e-01 -2.41922079e+00  4.48815304e-02]
 [-2.62895939e+00 -1.31019158e+01 -1.79336022e+01 -8.21145118e+00
  -2.41922079e+00  2.28905098e+02 -6.88545351e+00]
 [ 1.62487275e-01  3.14161543e-01  6.03105299e-01  1.03164797e+00
   4.48815304e-02 -6.88545351e+00  1.59654591e+00]]"
5,-6368.308963527481,174.02897715568542,True,Optimization terminated successfully.,163.0,"[  0.40676492   1.87194618  -2.41534154   2.94854689  -1.07294998
 -63.08290259   0.23049076]","[ 3.59065568  1.01818244  1.65039123  1.79923298  1.37394592  3.59883412
  1.99634713 -2.94543013 -0.77405527 -0.66687671  0.72901686 -1.79227657
 -1.2103522   2.53878959 -0.87919775  1.92010458 -2.38172744 -1.24397085
 -0.15492562 -0.47986328 -4.26200889  1.6814952  -2.37314543  2.03066144
  0.8070021  -1.89195573  0.54291952 -2.39595575]","[  0.28924522  -0.79997627  -3.84990968  -1.61767374   0.32285377
 -40.16196568   1.45402142]","[[ 2.62122712e+000  0.00000000e+000  0.00000000e+000  0.00000000e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 1.70825255e+000  2.26568135e+000  0.00000000e+000  0.00000000e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 2.14769363e+000  9.41271740e-001  3.41727614e-001  0.00000000e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 2.20634131e+000 -7.36632978e-002 -1.40143587e+000  5.44182074e-013
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 2.07101387e-001 -3.03998849e-001  3.69152539e-001 -1.08314091e-001
   1.43488584e-113  0.00000000e+000  0.00000000e+000]
 [-1.83630727e+001 -9.03909770e+000  5.12443269e+000 -1.10352478e+001
  -4.66186887e+000  5.00834202e+000  0.00000000e+000]
 [ 2.32750021e-001 -3.02575554e-001 -4.91668865e-001  2.40655543e-001
  -3.16356864e-001  1.39799294e-002  1.63768105e-014]]","[[ 6.87083162e+00  4.47771792e+00  5.62959278e+00  5.78332169e+00
   5.42859772e-01 -4.81337841e+01  6.10090668e-01]
 [ 4.47771792e+00  8.05143876e+00  5.80142494e+00  3.60209062e+00
  -3.34983050e-01 -5.18484808e+01 -2.87943972e-01]
 [ 5.62959278e+00  5.80142494e+00  5.61535816e+00  4.19029866e+00
   2.84794419e-01 -4.61953412e+01  4.70530910e-02]
 [ 5.78332169e+00  3.60209062e+00  4.19029866e+00  6.83739078e+00
  -3.80137084e-02 -4.70309200e+01  1.22485709e+00]
 [ 5.42859772e-01 -3.34983050e-01  2.84794419e-01 -3.80137084e-02
   2.83311824e-01  2.03182765e+00 -6.73817242e-02]
 [-4.81337841e+01 -5.18484808e+01 -4.61953412e+01 -4.70309200e+01
   2.03182765e+00  6.13760740e+02 -5.16938262e+00]
 [ 6.10090668e-01 -2.87943972e-01  4.70530910e-02  1.22485709e+00
  -6.73817242e-02 -5.16938262e+00  5.45655006e-01]]"
