start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_beta,start_gamma,opt_beta,opt_gamma,opt_sigma
19,-6381.14758938922,164.7043182849884,True,Optimization terminated successfully.,179.0,"[   1.83429587    0.46323568   -4.45238523    1.750974     -1.19937138
 -119.24470996    4.1232716 ]","[ 0.6605344  -1.88313911  0.41797344  1.32228526  1.74228854  1.99948991
 -0.48375732  0.94338052  0.65511481  0.06596158  0.43954789  0.08462725
  3.54941758 -1.7613244   1.64835738  0.21586757]","[  0.59598083  -0.76915251  -3.87649957  -2.03877781   0.41845289
 -35.90620991   1.18470254]","[[ 1.05404573e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.76080905e-01  9.56877166e-01  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 8.96485373e-01  1.21832301e+00  7.57018934e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.67458794e-01 -9.04517066e-01  1.84029579e+00  2.89637888e-13
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.06577218e-13  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -3.14606529e-01  1.27875681e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   3.97650283e-01 -5.25027644e-01  6.26693701e-01]]","[[ 1.11101241e+00 -6.07215621e-01  9.44936584e-01  2.81913801e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-6.07215621e-01  1.24748312e+00  6.49337359e-01 -1.01958963e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 9.44936584e-01  6.49337359e-01  2.86107464e+00  5.30917703e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.81913801e-01 -1.01958963e+00  5.30917703e-01  4.27637392e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   4.26741468e-26 -6.49905414e-14  8.21454891e-14]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -6.49905414e-14  1.63620875e+02 -6.83893011e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   8.21454891e-14 -6.83893011e+00  8.26524770e-01]]"
16,-6409.6152887252865,122.5495879650116,True,Optimization terminated successfully.,120.0,"[-0.84372886 -1.39618349 -7.9593249  -3.45376511 -0.09826909 -7.46192283
  3.46989386]","[ 0.03037998  0.51779821 -1.44496055 -0.30276639  0.69831598  0.30715775
 -1.87753146 -1.28205192  0.08333297  1.0875034   0.60114922  1.81987658
  4.83487839  1.2904494   1.03830822 -2.22662529]","[  0.26389641  -0.608641    -3.87120709  -1.1308322    0.38630077
 -36.56359988   1.27060669]","[[ 7.20099875e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-7.32549031e-01  1.48663250e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.55851516e-01  1.40164481e+00  9.76122183e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.32245531e-01 -5.82882066e-01  1.00599816e+00  1.95153172e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   4.12062469e-12  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.87753881e+00  1.22460996e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -5.10859459e-01 -1.75665962e-01  5.30297119e-01]]","[[ 5.18543830e-01 -5.27508465e-01  1.84238644e-01 -3.83269940e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.27508465e-01  2.74670426e+00  1.89630695e+00 -4.76635472e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.84238644e-01  1.89630695e+00  2.98288270e+00  2.88076700e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-3.83269940e-01 -4.76635472e-01  2.88076700e-02  5.44354515e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.69795478e-23  7.73663277e-12 -2.10506010e-12]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   7.73663277e-12  1.53492108e+02 -3.11038133e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -2.10506010e-12 -3.11038133e+00  5.73050951e-01]]"
23,-6409.727872708154,148.2307357788086,True,Optimization terminated successfully.,153.0,"[ -0.97861641   0.93197096  -4.92100567  -3.82509508  -0.53184313
 -10.89548937   1.10552473]","[ 0.67740598  1.74091532 -1.23857577  1.15094817  0.03693903 -0.73465642
 -1.35673271  1.45547394  1.06044129  2.05205744 -0.33703207  0.38184715
  2.10761143  0.80355921 -1.57700825 -1.76046607]","[ 4.99960956e-03 -5.76673419e-01 -3.77000463e+00 -2.04430547e+00
  4.50684687e-01 -3.72872948e+01  1.41135897e+00]","[[ 1.61604920e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 6.33950696e-01  1.64718918e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.49883256e+00  9.65597764e-01  4.80342705e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-8.13997154e-01 -5.97570430e-01  1.45606588e+00  5.11142923e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.76284849e-58  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   9.32030463e+00  1.22548022e-11  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.09407255e-01  4.24650806e-01  7.52526995e-01]]","[[ 2.61161501e+000  1.02449551e+000  2.42218716e+000 -1.31545945e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 1.02449551e+000  3.11512570e+000  2.54070814e+000 -1.50034561e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 2.42218716e+000  2.54070814e+000  3.40960720e+000 -1.09764749e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [-1.31545945e+000 -1.50034561e+000 -1.09764749e+000  3.40107671e+000
   0.00000000e+000  0.00000000e+000  0.00000000e+000]
 [ 0.00000000e+000  0.00000000e+000  0.00000000e+000  0.00000000e+000
   3.10763481e-116  1.64302850e-057 -1.92868414e-059]
 [ 0.00000000e+000  0.00000000e+000  0.00000000e+000  0.00000000e+000
   1.64302850e-057  8.68680783e+001 -1.01970894e+000]
 [ 0.00000000e+000  0.00000000e+000  0.00000000e+000  0.00000000e+000
  -1.92868414e-059 -1.01970894e+000  7.58595133e-001]]"
1,-6415.794621100999,169.2787811756134,True,Optimization terminated successfully.,186.0,"[   1.97588166   -2.48041027  -10.21137387   -4.74756463   -1.35898558
 -116.37068034    3.04474418]","[ 1.98662689  1.32460164  1.44257216  1.13582157  1.44258773  0.47464034
 -1.60864053 -0.65494386 -1.17688116 -0.85531903 -2.27153101  1.34797867
  5.41040254  0.08136692 -1.65764344 -1.81601761]","[  0.3465919   -0.82714412  -3.85700411  -2.00754866   0.44741377
 -37.19052364   1.20374062]","[[ 6.73979427e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.85452300e-01  9.69404186e-01  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.86727368e-01  1.19983752e+00  4.53041500e-12  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.17172441e-01 -1.37759078e+00 -2.40121193e-01  2.71181567e-11
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.81128077e-28  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.02974141e+01  7.82113277e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -8.49243884e-01  2.28415886e-01  5.05930440e-02]]","[[ 4.54248268e-01 -3.27184863e-01  2.60646290e-01 -3.48563586e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-3.27184863e-01  1.17540841e+00  9.75389825e-01 -1.08437971e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.60646290e-01  9.75389825e-01  1.58916813e+00 -1.85288984e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-3.48563586e-01 -1.08437971e+00 -1.85288984e+00  2.22288187e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   7.90329955e-56  2.89489223e-27 -2.38746300e-28]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.89489223e-27  1.67206856e+02 -6.95854501e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -2.38746300e-28 -6.95854501e+00  7.75948648e-01]]"
22,-6416.4472283123,193.7757887840271,True,Optimization terminated successfully.,213.0,"[ 1.11078256e+00  3.75367270e-03  3.30096216e+00 -5.44743905e-01
 -9.95381376e-01 -2.86188291e+01  1.51995589e+00]","[ 1.13604639  1.46758493 -1.03277534 -1.01374248  1.18300143  0.67985281
 -1.66441798  0.1772725  -0.42392639 -0.40887637 -1.19844083  0.57890807
  0.4060648   0.90147306 -1.6698855  -0.73893188]","[  0.39319478  -0.51384248  -4.05358689  -2.1894209    0.4083716
 -39.04912228   1.53091389]","[[ 2.22694661e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.52010732e-01  8.90117885e-01  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.98004643e+00 -2.54370007e-01  4.02128249e-01  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-6.67452861e-01 -6.60481966e-01 -1.60460402e+00  9.49352030e-12
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   7.50271516e-02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.32935963e+01  3.76669291e-09  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.98186289e-01  8.29958234e-01  2.39817459e-01]]","[[ 4.95929119e-02 -1.00660377e-01 -4.40945767e-01 -1.48638188e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.00660377e-01  9.96623550e-01  6.68582942e-01 -2.86210954e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.40945767e-01  6.68582942e-01  4.14699508e+00  8.44337853e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.48638188e-01 -2.86210954e-01  8.44337853e-01  3.45648380e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   5.62907348e-03 -9.97380663e-01  2.23720679e-02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -9.97380663e-01  1.76719702e+02 -3.96396814e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.23720679e-02 -3.96396814e+00  8.35258147e-01]]"
10,-6419.336935398014,158.45989203453064,False,Desired error not necessarily achieved due to precision loss.,112.0,"[-4.77485056e-01 -1.08789085e-02  3.40844729e-01  9.82196879e-01
  2.27453655e+00 -1.15280090e+02 -7.98756326e-01]","[ 0.07754945  0.44235882  0.17977037  0.97091811 -0.52254707  0.09908218
 -1.25828993 -0.58766143  1.45468645 -0.86852373  0.82172852 -1.54057626
  0.36549637  0.53799784  1.70490635 -0.04036629]","[  0.39129409  -0.8651287   -3.9796415   -1.83047721   0.40794532
 -38.68057991   1.5829203 ]","[[ 5.46149434e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-3.29372721e-01  1.44902153e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.66662406e-01  1.03837114e+00  1.81435266e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-9.61862962e-01 -1.08498286e+00  1.90055817e+00  1.34410251e-05
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.11735879e-01  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.23510359e+01  6.58569418e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   4.82404537e-01 -4.26453183e-01  6.82554917e-01]]","[[ 2.98279204e-01 -1.79886725e-01  9.10225785e-02 -5.25320912e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.79886725e-01  2.20814977e+00  1.44972809e+00 -1.25535211e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 9.10225785e-02  1.44972809e+00  4.39786657e+00  2.16136148e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.25320912e-01 -1.25535211e+00  2.16136148e+00  5.71448953e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   4.48320823e-02 -2.61515744e+00  1.02142348e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -2.61515744e+00  1.95919456e+02 -8.76668600e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.02142348e-01 -8.76668600e+00  8.80457669e-01]]"
18,-6424.233264197097,173.43036103248596,False,Desired error not necessarily achieved due to precision loss.,177.0,"[ -0.8389863   -0.95986762  -1.44052464  -5.08116825   2.42649955
 -98.3697393    1.87232841]","[-0.59728716  1.17008599  1.44067962 -0.48700471  0.41312232  1.57722572
  0.2688353   0.52166542 -1.15437772  0.74049511  0.57642256 -1.27046813
 -0.07256921 -0.36231024 -0.9233546   0.89575713]","[  0.3727699   -0.66277026  -3.98753744  -2.03083942   0.3951463
 -37.34905142   1.60493001]","[[ 4.19602990e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.54566313e-01  1.81539003e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.01833232e+00  1.51175927e+00  5.08534498e-08  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.48333439e-01 -1.36864617e-01  3.60318638e-01  1.98483710e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.87337834e-02  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.11799951e+01  4.49698839e-25  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -3.30726667e-01  3.80070779e-01  5.75124760e-01]]","[[ 1.76066669e-01 -1.06816786e-01  4.27295288e-01 -1.88122051e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.06816786e-01  3.36044498e+00  2.48519961e+00 -1.34332071e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 4.27295288e-01  2.48519961e+00  3.32241681e+00 -6.63458767e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.88122051e-01 -1.34332071e-01 -6.63458767e-01  4.28914265e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   3.50954640e-04  2.09443606e-01 -6.19576175e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.09443606e-01  1.24992290e+02 -3.69752252e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -6.19576175e-03 -3.69752252e+00  5.84602415e-01]]"
11,-6424.503032545995,178.46925258636475,True,Optimization terminated successfully.,196.0,"[   1.47012692    0.62235721   -5.81395849   -5.64931571   -0.16253202
 -115.33769937   -0.87863075]","[-0.59403126  1.77910018  1.93536633 -0.62475729 -1.6125685   1.44199823
 -0.05890193 -1.03351405  1.76188582  1.26327207  0.55174734  0.11236792
 -1.20510756 -0.93373186  1.74957796  1.40631005]","[  0.5581813   -0.88069686  -4.08152719  -1.64639897   0.40063904
 -37.59925942   1.25787026]","[[ 1.04668660e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.67759249e-01  1.55998396e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.41640318e-01  1.41360851e+00  2.65943194e-11  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.66314601e+00 -6.02506952e-01 -5.48757712e-01  1.45843081e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   4.93113771e-11  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.38417268e+01  9.92977922e-29  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -5.46212773e-01 -7.92615677e-01  1.46568887e-01]]","[[ 1.09555285e-02 -5.94266000e-02  3.57590343e-02 -1.74079264e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.94266000e-02  2.75590052e+00  2.01123715e+00  4.36534634e-03
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.57590343e-02  2.01123715e+00  2.11500712e+00 -1.41990668e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.74079264e-01  4.36534634e-03 -1.41990668e+00  5.55722471e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.43161191e-21  6.82554609e-10 -2.69345040e-11]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   6.82554609e-10  1.91593400e+02 -7.56052797e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -2.69345040e-11 -7.56052797e+00  9.48070444e-01]]"
4,-6427.038882910469,103.86898803710938,True,Optimization terminated successfully.,96.0,"[ 0.02316189 -0.11075195 -4.52346257 -4.26213257  0.02556237 11.30684886
  1.08305851]","[-1.13910488 -0.07545897 -0.47931938  0.26020307  0.05569099 -1.53950217
 -0.33719491 -0.06270623 -0.97932093  2.20245124  1.41578795 -1.96645098
  2.5538194   1.49105656  1.59557523 -0.00865735]","[  0.33213471  -0.51330874  -3.80787434  -2.48063781   0.39303791
 -36.15976598   1.44592446]","[[ 6.01861969e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-7.39690706e-01  6.14167746e-01  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.02623173e-01  1.65462509e+00  8.65982723e-12  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-6.87009460e-01 -1.63599383e+00 -1.61858001e+00  7.34324646e-02
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   5.32489238e-01  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.40379512e+00  1.43379063e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -5.97101423e-01 -2.61781432e-01  6.85141287e-01]]","[[ 3.62237830e-01 -4.45191705e-01  1.21951182e-01 -4.13484867e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.45191705e-01  9.24344361e-01  8.66338882e-01 -4.96600133e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.21951182e-01  8.66338882e-01  2.77884033e+00 -2.84616048e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-4.13484867e-01 -4.96600133e-01 -2.84616048e+00  5.77365141e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.83544789e-01  7.47505793e-01 -3.17950082e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   7.47505793e-01  2.07546198e+02 -4.59160571e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -3.17950082e-01 -4.59160571e+00  8.94478210e-01]]"
9,-6428.212925926984,136.98305869102478,True,Optimization terminated successfully.,118.0,"[  2.09338405  -1.07909021  -3.45183219  -2.73547309  -1.10515489
 -81.10094737  -0.47704206]","[ 2.00476414 -0.09570594  0.41347218 -0.65169503  1.74535965 -0.86786994
 -0.02702471  1.04706582 -1.21622416  1.50877905 -2.17728959  1.1837683
  2.79829523  0.9110894   0.56252478 -1.68151797]","[  0.33694111  -0.31708647  -5.07397355  -1.63044956   0.3637702
 -40.31393065   1.19298192]","[[ 6.89924984e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-7.66488839e-01  1.42399145e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.81437929e+00  1.92018828e+00  1.95762190e-31  0.00000000e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-3.06792827e-01  1.95319618e-02  9.46532902e-02  3.17351637e+00
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   3.96696457e-03  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   2.13718951e-01  1.42624934e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -3.06560268e-01 -2.02804195e-01  4.36025677e-10]]","[[ 4.75996483e-01 -5.28819800e-01  1.25178560e+00 -2.11664036e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-5.28819800e-01  2.61525679e+00  1.34363021e+00  2.62966624e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.25178560e+00  1.34363021e+00  6.97909521e+00 -5.19133506e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-2.11664036e-01  2.62966624e-01 -5.19133506e-01  1.01746687e+01
   0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.57368079e-05  8.47815507e-04 -1.21611372e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   8.47815507e-04  2.03464395e+02 -2.95801124e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  -1.21611372e-03 -2.95801124e+00  1.35108739e-01]]"
