start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_beta,start_gamma,opt_beta,opt_gamma,opt_sigma
5,-6467.2331119458495,111.03190279006958,True,Optimization terminated successfully.,79.0,"[  0.57838403   0.16287776   2.51935948   1.48316125  -0.48366273
 -65.6333827    0.37666206]",[ 1.15776098 -0.26672261 -1.28554057  1.88424829],"[  0.24071065  -0.31118472  -3.8073085   -2.38236576   0.38267095
 -39.28371325   1.30090512]","[[0.97487795 0.         0.         0.        ]
 [0.         1.5451026  0.         0.        ]
 [0.         0.         1.3731827  0.        ]
 [0.         0.         0.         2.20445962]]","[[0.95038703 0.         0.         0.        ]
 [0.         2.38734204 0.         0.        ]
 [0.         0.         1.88563072 0.        ]
 [0.         0.         0.         4.85964222]]"
17,-6467.23311194585,115.76441526412964,True,Optimization terminated successfully.,93.0,"[ 1.21130502 -0.41258371 -9.73399966  0.87636427 -0.4283703  31.04582345
  0.75853188]",[1.40198311 1.02564275 2.49424511 0.11640983],"[  0.24071064  -0.31118475  -3.80730843  -2.3823657    0.38267095
 -39.28371319   1.30090512]","[[0.97487796 0.         0.         0.        ]
 [0.         1.5451026  0.         0.        ]
 [0.         0.         1.37318272 0.        ]
 [0.         0.         0.         2.20445958]]","[[0.95038704 0.         0.         0.        ]
 [0.         2.38734204 0.         0.        ]
 [0.         0.         1.88563079 0.        ]
 [0.         0.         0.         4.85964205]]"
20,-6467.233111945851,84.31282925605774,True,Optimization terminated successfully.,55.0,"[  1.32182666   0.40871672   2.82432217  -5.63883779  -0.73959011
 -56.78838982  -0.41215607]",[ 1.03611434 -0.0978965   2.25687333  0.9024398 ],"[  0.24071063  -0.31118473  -3.8073085   -2.38236573   0.38267095
 -39.28371313   1.30090513]","[[0.97487796 0.         0.         0.        ]
 [0.         1.5451026  0.         0.        ]
 [0.         0.         1.37318269 0.        ]
 [0.         0.         0.         2.20445961]]","[[0.95038703 0.         0.         0.        ]
 [0.         2.38734206 0.         0.        ]
 [0.         0.         1.88563069 0.        ]
 [0.         0.         0.         4.85964215]]"
16,-6467.233111945852,100.72296237945557,True,Optimization terminated successfully.,81.0,"[  2.43221051   1.20465521   2.01105742   0.50648456   1.63598384
 -13.44950171  -1.32349057]",[ 1.58411657  1.89225549 -1.13431503  2.10254364],"[  0.24071068  -0.31118468  -3.80730851  -2.3823657    0.38267093
 -39.2837134    1.30090511]","[[0.97487796 0.         0.         0.        ]
 [0.         1.54510259 0.         0.        ]
 [0.         0.         1.37318271 0.        ]
 [0.         0.         0.         2.20445962]]","[[0.95038704 0.         0.         0.        ]
 [0.         2.38734201 0.         0.        ]
 [0.         0.         1.88563074 0.        ]
 [0.         0.         0.         4.8596422 ]]"
21,-6467.233111945852,86.99520063400269,True,Optimization terminated successfully.,61.0,"[ -1.25805844   0.80386965   2.67290463   0.33073686  -1.38777909
 -18.51256178  -1.13968597]",[-0.01580374  1.32399108 -1.25179808 -0.3387251 ],"[  0.24071062  -0.3111847   -3.80730856  -2.38236583   0.38267097
 -39.28371283   1.30090512]","[[0.97487793 0.         0.         0.        ]
 [0.         1.54510258 0.         0.        ]
 [0.         0.         1.37318275 0.        ]
 [0.         0.         0.         2.20445964]]","[[0.95038698 0.         0.         0.        ]
 [0.         2.38734198 0.         0.        ]
 [0.         0.         1.88563085 0.        ]
 [0.         0.         0.         4.85964231]]"
6,-6467.233111945853,80.55651330947876,True,Optimization terminated successfully.,54.0,"[ 2.07713598e-01 -2.27293522e+00 -3.31172324e+00  1.04649895e+00
  1.61032526e+00 -8.47588471e+01 -1.41174640e-02]",[-0.22749339  1.45799434  2.2701042   1.06058513],"[  0.24071074  -0.31118465  -3.80730854  -2.38236574   0.38267094
 -39.28371388   1.3009051 ]","[[0.97487795 0.         0.         0.        ]
 [0.         1.5451026  0.         0.        ]
 [0.         0.         1.37318271 0.        ]
 [0.         0.         0.         2.20445966]]","[[0.95038702 0.         0.         0.        ]
 [0.         2.38734205 0.         0.        ]
 [0.         0.         1.88563076 0.        ]
 [0.         0.         0.         4.85964239]]"
19,-6471.858715890938,89.8884949684143,True,Optimization terminated successfully.,63.0,"[ 1.43468804 -1.98404704 -4.93101076 -2.5216634   2.00410935  1.40649136
  0.67132185]",[-1.11345001  0.14041745 -0.56689128 -0.35172202],"[  0.50132572  -0.32487829  -3.79764957  -2.4601483    0.38048585
 -39.11327379   1.28666863]","[[1.56621824 0.         0.         0.        ]
 [0.         1.55495164 0.         0.        ]
 [0.         0.         1.34912621 0.        ]
 [0.         0.         0.         2.43414922]]","[[2.45303956 0.         0.         0.        ]
 [0.         2.4178746  0.         0.        ]
 [0.         0.         1.82014152 0.        ]
 [0.         0.         0.         5.92508245]]"
12,-6471.858715890938,70.90655446052551,True,Optimization terminated successfully.,44.0,"[ -1.40344416  -2.25187838  -9.67723422  -4.28900684   0.47656194
 -46.71811969   3.87556065]",[-0.53965899  0.13392689 -0.55630524  2.11544839],"[  0.50132572  -0.32487833  -3.79764967  -2.46014836   0.38048581
 -39.11327347   1.28666862]","[[1.56621823 0.         0.         0.        ]
 [0.         1.55495165 0.         0.        ]
 [0.         0.         1.34912629 0.        ]
 [0.         0.         0.         2.43414924]]","[[2.45303956 0.         0.         0.        ]
 [0.         2.41787465 0.         0.        ]
 [0.         0.         1.82014175 0.        ]
 [0.         0.         0.         5.92508253]]"
23,-6471.858715890939,70.93187713623047,True,Optimization terminated successfully.,40.0,"[   2.13996906    1.28795351   -2.8347103    -1.08526955    0.15293839
 -111.19877179    1.99988631]",[ 0.8392613   1.65285374 -0.55649654 -0.28488005],"[  0.50132574  -0.32487832  -3.7976497   -2.46014829   0.38048582
 -39.1132737    1.28666865]","[[1.56621822 0.         0.         0.        ]
 [0.         1.55495167 0.         0.        ]
 [0.         0.         1.34912628 0.        ]
 [0.         0.         0.         2.43414921]]","[[2.45303951 0.         0.         0.        ]
 [0.         2.4178747  0.         0.        ]
 [0.         0.         1.82014172 0.        ]
 [0.         0.         0.         5.92508238]]"
3,-6471.8587158909395,98.87975025177002,True,Optimization terminated successfully.,70.0,"[ -1.34642108  -1.87903399   1.6937351   -0.28104111  -0.74528186
 -12.37110917   1.66925791]",[ 2.25669365  1.40430786 -1.06490332  1.72381992],"[  0.50132573  -0.3248783   -3.79764961  -2.46014829   0.38048579
 -39.11327378   1.28666861]","[[1.56621826 0.         0.         0.        ]
 [0.         1.55495166 0.         0.        ]
 [0.         0.         1.34912625 0.        ]
 [0.         0.         0.         2.43414923]]","[[2.45303963 0.         0.         0.        ]
 [0.         2.41787467 0.         0.        ]
 [0.         0.         1.82014165 0.        ]
 [0.         0.         0.         5.92508245]]"
11,-6471.8587158909395,95.22887015342712,True,Optimization terminated successfully.,70.0,"[  0.2586409    0.95952842  -2.82825902   1.97458399  -0.58757506
 -99.42575951   3.62098488]",[-0.59279653  0.60237252  0.86006411  1.97908071],"[  0.50132579  -0.32487827  -3.79764959  -2.4601482    0.38048578
 -39.11327431   1.28666864]","[[1.56621824 0.         0.         0.        ]
 [0.         1.55495165 0.         0.        ]
 [0.         0.         1.34912626 0.        ]
 [0.         0.         0.         2.43414918]]","[[2.45303956 0.         0.         0.        ]
 [0.         2.41787464 0.         0.        ]
 [0.         0.         1.82014166 0.        ]
 [0.         0.         0.         5.92508222]]"
0,-6480.583856352757,74.50231099128723,False,Desired error not necessarily achieved due to precision loss.,22.0,[  0.5  -0.5  -3.5  -2.    0.5 -40.    1.5],[0.54930614 0.54930614 0.54930614 0.54930614],"[  0.3004932   -0.3751614   -3.60346903  -3.05088058   0.40247714
 -38.37319384   1.25830758]","[[1.70142529 0.         0.         0.        ]
 [0.         1.58726421 0.         0.        ]
 [0.         0.         1.2345371  0.        ]
 [0.         0.         0.         3.63582467]]","[[ 2.89484802  0.          0.          0.        ]
 [ 0.          2.51940768  0.          0.        ]
 [ 0.          0.          1.52408185  0.        ]
 [ 0.          0.          0.         13.21922103]]"
1,-6480.583856352759,83.76649951934814,True,Optimization terminated successfully.,58.0,"[ 0.26848522 -0.69036306 -4.1549209   1.09239304  1.13968564 23.74442222
  3.11151879]",[-1.14186441  0.34748711 -0.76656482  0.56830329],"[  0.30049323  -0.37516139  -3.60346909  -3.05088062   0.40247712
 -38.37319405   1.25830757]","[[1.70142533 0.         0.         0.        ]
 [0.         1.58726422 0.         0.        ]
 [0.         0.         1.23453713 0.        ]
 [0.         0.         0.         3.63582472]]","[[ 2.89484814  0.          0.          0.        ]
 [ 0.          2.51940769  0.          0.        ]
 [ 0.          0.          1.52408192  0.        ]
 [ 0.          0.          0.         13.21922138]]"
22,-6484.2929647617675,130.84980058670044,False,Desired error not necessarily achieved due to precision loss.,52.0,"[ -1.18325896   0.96519298  -0.99466071  -5.15167413   1.07831564
 -68.71895925   4.03402169]",[-1.20994142  0.87079135  0.33461585  1.77078604],"[  0.25306693  -0.1017101   -3.81107833  -1.05921537   0.38703195
 -39.50581082   1.34442641]","[[1.35915966 0.         0.         0.        ]
 [0.         1.42026113 0.         0.        ]
 [0.         0.         1.3180991  0.        ]
 [0.         0.         0.         3.04228386]]","[[1.84731499 0.         0.         0.        ]
 [0.         2.01714169 0.         0.        ]
 [0.         0.         1.73738525 0.        ]
 [0.         0.         0.         9.2554911 ]]"
14,-6484.292964761768,90.86386299133301,True,Optimization terminated successfully.,63.0,"[ 2.29660276  1.0390784  -1.15296117 -5.32114125  0.36749686 36.84901601
  2.83516186]",[ 2.4665457  -0.7994093   1.62498144  1.63218969],"[  0.25306688  -0.10170999  -3.81107855  -1.05921561   0.38703198
 -39.5058115    1.34442639]","[[1.35915973 0.         0.         0.        ]
 [0.         1.4202611  0.         0.        ]
 [0.         0.         1.31809915 0.        ]
 [0.         0.         0.         3.04228421]]","[[1.84731517 0.         0.         0.        ]
 [0.         2.01714159 0.         0.        ]
 [0.         0.         1.73738536 0.        ]
 [0.         0.         0.         9.25549321]]"
2,-6485.643640018519,77.45634198188782,True,Optimization terminated successfully.,51.0,"[  0.93342443  -0.70699209  -7.18105223  -1.91543712  -1.1069785
 -56.72528088   2.83278753]",[0.35864739 0.54927071 1.80599621 0.70663392],"[  0.46816721  -0.2804664   -3.88433478  -2.43638241   0.37030918
 -38.71059487   1.31253011]","[[1.53273572 0.         0.         0.        ]
 [0.         1.09833672 0.         0.        ]
 [0.         0.         1.33224676 0.        ]
 [0.         0.         0.         2.38514061]]","[[2.34927878 0.         0.         0.        ]
 [0.         1.20634355 0.         0.        ]
 [0.         0.         1.77488144 0.        ]
 [0.         0.         0.         5.68889575]]"
15,-6488.020828212442,59.1545627117157,True,Optimization terminated successfully.,25.0,"[ -0.67217739  -1.56627884  -8.03352044  -2.11440646   1.82769396
 -24.04590616   1.14637727]",[ 1.54043857  0.75226959 -0.74319607 -0.08247303],"[  0.21205093  -0.26485839  -3.6957188   -1.45793435   0.37778521
 -39.33368014   1.3541894 ]","[[0.97783295 0.         0.         0.        ]
 [0.         1.47849383 0.         0.        ]
 [0.         0.         1.30832626 0.        ]
 [0.         0.         0.         2.50472332]]","[[0.95615727 0.         0.         0.        ]
 [0.         2.185944   0.         0.        ]
 [0.         0.         1.71171759 0.        ]
 [0.         0.         0.         6.2736389 ]]"
13,-6501.621181741086,81.25889730453491,True,Optimization terminated successfully.,52.0,"[ 0.91066231  1.02077331 -6.75993824 -2.21567535  1.59799252  1.83906095
  2.87939247]",[-0.77960912 -0.27623251  0.62489992  0.19295235],"[  0.24004127  -0.41246312  -3.2148476   -3.04574189   0.43503196
 -38.44637099   1.29743592]","[[1.97892261e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.59146233e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 2.14629241e-15 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.63089822e+00]]","[[3.91613471e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 2.53275235e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 4.60657113e-30 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 1.31834219e+01]]"
