start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_beta,start_gamma,opt_beta,opt_gamma,opt_sigma
0,-6443.08518675222,65.20486664772034,True,Optimization terminated successfully.,34.0,[  0.5  -0.5  -3.5  -2.    0.5 -40.    1.5],"[0.54930614 0.         0.54930614 0.         0.         0.54930614
 0.         0.         0.         0.54930614]","[  0.58181293  -0.43690548  -3.70685189  -2.41897754   0.37707548
 -39.24287541   1.2228408 ]","[[ 1.56603818  0.          0.          0.        ]
 [-0.2021324   1.67077216  0.          0.        ]
 [ 0.38950091  0.73350292  1.26183155  0.        ]
 [ 0.45383721 -0.42588664  0.40471155  2.33329645]]","[[ 2.45247558 -0.31654705  0.60997329  0.7107264 ]
 [-0.31654705  2.83233711  1.1467855  -0.80329474]
 [ 0.60997329  1.1467855   2.28195634  0.37505871]
 [ 0.7107264  -0.80329474  0.37505871  5.99541141]]"
21,-6443.0851867522215,119.76369190216064,False,Desired error not necessarily achieved due to precision loss.,106.0,"[  3.47252472   1.77777937 -16.4938495   -4.2309886    2.97892329
 -82.4555849   -1.30958653]","[ 4.18009388  3.09551581 -0.13067812 -2.04758641  0.10688017  2.48586318
 -3.98461645  1.41836295  2.76844429  3.41689336]","[  0.58181301  -0.43690543  -3.70685185  -2.4189775    0.37707546
 -39.24287596   1.2228408 ]","[[ 1.56603817  0.          0.          0.        ]
 [-0.20213239  1.67077215  0.          0.        ]
 [ 0.38950085  0.73350291  1.26183153  0.        ]
 [ 0.45383722 -0.42588663  0.40471155  2.33329646]]","[[ 2.45247556 -0.31654705  0.6099732   0.71072641]
 [-0.31654705  2.83233708  1.1467855  -0.80329473]
 [ 0.6099732   1.1467855   2.28195625  0.37505869]
 [ 0.71072641 -0.80329473  0.37505869  5.99541145]]"
23,-6458.613103785188,108.75758814811707,False,Desired error not necessarily achieved due to precision loss.,62.0,"[ -0.68881816  -0.045467    -1.5835155   -3.64729186  -2.27412802
 -31.83225939   4.15914074]","[-2.89555507 -1.89176405  0.64888756  3.22929981  0.48710776  2.40602454
  1.08670415 -1.35773504 -1.47483187  3.55742875]","[  0.55540343  -0.37154233  -4.11206447  -1.42766687   0.36841754
 -39.32846317   1.23537458]","[[ 1.41447999  0.          0.          0.        ]
 [-0.7809077   1.54924062  0.          0.        ]
 [-0.1734618   0.6365347   1.34300556  0.        ]
 [ 0.29094103  0.71121301 -1.57117598  1.66313257]]","[[ 2.00075363 -1.10457831 -0.24535825  0.41153026]
 [-1.10457831  3.00996335  1.12160307  0.874642  ]
 [-0.24535825  1.12160307  2.23892935 -1.70785347]
 [ 0.41153026  0.874642   -1.70785347  5.82507454]]"
7,-6460.9754225064125,152.947571516037,False,Desired error not necessarily achieved due to precision loss.,102.0,"[-0.65158045  3.27830683  1.56963594  0.09463386 -2.57496309 23.57666454
  4.24618471]","[-2.55841499  2.90534764 -0.24344438 -0.34476887 -0.7646068   2.44176732
 -2.77403903 -3.56947433 -0.26264364  1.00391295]","[  0.48212556  -0.43298039  -3.56983151  -1.60302915   0.37757542
 -39.42592287   1.27389901]","[[ 1.26203663  0.          0.          0.        ]
 [ 0.41834155  1.69056284  0.          0.        ]
 [ 0.4300793   0.20676564  1.25083863  0.        ]
 [ 0.17473822 -1.31637867  1.81563018  2.08747432]]","[[ 1.59273647  0.52796236  0.54277584  0.22052603]
 [ 0.52796236  3.03301236  0.52947035 -2.1523206 ]
 [ 0.54277584  0.52947035  1.79231752  2.07402978]
 [ 0.22052603 -2.1523206   2.07402978  9.41744824]]"
14,-6460.9754225064125,147.61894631385803,True,Optimization terminated successfully.,126.0,"[-1.84759904 -1.93807499  9.72039731 -6.83556324  2.56748807 37.10752392
 -0.32599108]","[ 0.74288147 -2.99915978  3.19210238 -0.96608511 -3.59202794  4.32458984
  1.02218401  1.20832904 -0.80210211 -1.36153901]","[  0.48212554  -0.43298038  -3.56983144  -1.60302916   0.37757546
 -39.42592273   1.273899  ]","[[ 1.26203662  0.          0.          0.        ]
 [ 0.4183415   1.69056283  0.          0.        ]
 [ 0.43007933  0.20676576  1.2508386   0.        ]
 [ 0.17473821 -1.31637867  1.81563021  2.08747427]]","[[ 1.59273642  0.5279623   0.54277587  0.22052601]
 [ 0.5279623   3.03301229  0.52947054 -2.1523206 ]
 [ 0.54277587  0.52947054  1.79231751  2.07402961]
 [ 0.22052601 -2.1523206   2.07402961  9.41744811]]"
13,-6466.286948209799,170.61934328079224,True,Optimization terminated successfully.,168.0,"[ 1.44263995  1.16071222  9.62047163 -9.82879428  0.27052164 81.16570367
 -3.14758979]","[-1.48699218  2.38769533  3.51387751 -0.6163168  -0.28200553 -0.99955733
  0.54939259  2.9855382  -3.95371494 -2.12746005]","[  0.65688787  -0.49619071  -3.10284025  -2.01298152   0.40497661
 -39.24889907   1.26699283]","[[ 1.90729986e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-8.37457762e-01  1.54237317e+00  0.00000000e+00  0.00000000e+00]
 [ 2.11187352e-01  9.53159078e-01  1.89947772e-11  0.00000000e+00]
 [ 9.62434159e-01 -3.17849300e-01 -2.94255283e+00  1.23400466e+00]]","[[ 3.63779277 -1.59728307  0.40279761  1.83565054]
 [-1.59728307  3.08025051  1.2932665  -1.29624019]
 [ 0.40279761  1.2932665   0.95311233 -0.09970702]
 [ 1.83565054 -1.29624019 -0.09970702 11.20869235]]"
10,-6473.075500240005,152.07390189170837,True,Optimization terminated successfully.,146.0,"[  3.85565656   1.19841504   1.68530126  -9.09882558   2.98218813
 104.2932466   -3.91737706]","[ 2.27855858 -2.1286799   2.56607315  3.38135123  3.54634938  3.50331934
 -1.75970046  1.95791242 -1.48361222 -3.20495459]","[  0.53707638  -0.5089475   -3.17722492  -2.3190964    0.41022447
 -38.48903922   1.32626925]","[[ 1.72172989e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [-1.37069642e-01  1.52842317e+00  0.00000000e+00  0.00000000e+00]
 [ 4.61685301e-01  1.00451098e+00  1.53968479e-11  0.00000000e+00]
 [-6.89384509e-01 -5.67149635e-01 -3.11602115e+00  2.56879828e-13]]","[[ 2.96435382 -0.2359969   0.79489738 -1.18693392]
 [-0.2359969   2.35486547  1.47203482 -0.77235095]
 [ 0.79489738  1.47203482  1.22219563 -0.88798673]
 [-1.18693392 -0.77235095 -0.88798673 10.50649752]]"
2,-6473.604422592563,175.17549300193787,True,Optimization terminated successfully.,189.0,"[   1.95953562   -1.09463317   -9.85358989   -3.03737513    3.5131588
 -199.39298385   -4.00424533]","[ 3.37459733 -0.82474648  4.01399478 -2.32388398 -0.38494631 -2.05258507
 -2.02396911 -3.7895218   1.18505991  4.1441944 ]","[ 1.68453579e-02 -6.26072853e-01 -3.37322448e+00 -2.49419059e+00
  4.18971750e-01 -3.88526651e+01  1.32721558e+00]","[[ 1.20857999e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 2.55540423e-01  1.57482600e+00  0.00000000e+00  0.00000000e+00]
 [ 5.02842849e-01  9.64283146e-01  5.80585191e-11  0.00000000e+00]
 [-3.27213014e-01 -1.47065085e+00 -2.18449013e+00  2.08303398e+00]]","[[ 1.46066559  0.30884104  0.6077258  -0.3954631 ]
 [ 0.30884104  2.54537785  1.64707485 -2.39963535]
 [ 0.6077258   1.64707485  1.18269292 -1.58266055]
 [-0.3954631  -2.39963535 -1.58266055 11.38090997]]"
4,-6481.97875637724,129.45556640625,True,Optimization terminated successfully.,111.0,"[ 2.12869444 -2.5941752  -0.75594358 -5.62327798  4.21561158  6.49625842
 -0.65710591]","[ 1.74693283  0.25693693  1.43947983 -0.06824033 -1.44580337 -2.40807365
 -1.69525288  0.82128703 -0.56323113 -1.1379877 ]","[  0.9844833   -0.54557632  -3.03892211  -2.39122116   0.40195687
 -39.4626759    1.34566018]","[[ 1.78071119e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.55384947e-01  1.69433052e+00  0.00000000e+00  0.00000000e+00]
 [ 6.89139327e-01  9.18473571e-01  1.08721188e-11  0.00000000e+00]
 [-1.62433329e-01 -6.61851140e-01  2.24497245e+00  3.37743899e-01]]","[[ 3.17093236  0.63283795  1.22715811 -0.28924685]
 [ 0.63283795  2.99705438  1.80110755 -1.17912095]
 [ 1.22715811  1.80110755  1.31850671 -0.71983198]
 [-0.28924685 -1.17912095 -0.71983198  5.61840376]]"
3,-6486.834326605204,125.70528316497803,True,Optimization terminated successfully.,108.0,"[   3.39526033    1.71942321   -3.27352309   -1.07030474    1.86607573
 -163.08101753   -0.29813918]","[ 2.72415636 -0.9024502  -2.95486924  3.49615387 -3.99252116  3.18075899
  2.31456847 -2.42759333  1.14896946 -0.64412819]","[  1.02214774  -0.75936978  -4.00358337   0.04248662   0.37587133
 -38.24149743   1.32345175]","[[ 1.78360271  0.          0.          0.        ]
 [-0.33712617  1.70913276  0.          0.        ]
 [ 0.20472522  0.85478872  1.28860906  0.        ]
 [ 2.80955586 -0.11700628 -0.90461688  2.50975574]]","[[ 3.18123863 -0.60129914  0.36514847  5.01113145]
 [-0.60129914  3.03478883  1.39192917 -1.14715406]
 [ 0.36514847  1.39192917  2.43308948 -0.69052619]
 [ 5.01113145 -1.14715406 -0.69052619 15.02450019]]"
