start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_theta,opt_theta,opt_beta,opt_mu_prob
37,-3253.32211224493,4.221875905990601,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,"[ 9.39630233  9.69156163 -4.23543509  4.68506995  4.99967076 -3.07014277
 -7.5226045  -9.18106079  5.54686255 -0.20600516  9.71080339 -0.69053088
  9.55833958 -1.76847996  5.87364301 -8.30361455  1.1092342 ]","[ 9.39582825  9.69162205 -4.23575578  4.62375969  4.99913686 -3.07014778
 -7.52260942 -9.18152185  6.5873102  -0.70324308  1.17120838 -0.03018891
  2.18138296 -4.18263461  4.34025382 -2.55369351  1.76223547]","[[ 9.39582825  6.5873102 ]
 [ 9.69162205 -0.70324308]
 [-4.23575578  1.17120838]
 [ 4.62375969 -0.03018891]
 [ 4.99913686  2.18138296]
 [-3.07014778 -4.18263461]
 [-7.52260942  4.34025382]
 [-9.18152185 -2.55369351]]",[0.14651058 0.85348942]
40,-3254.7189123083754,5.189807891845703,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,354,"[-8.30376818 -3.16146123  4.35278295  6.15863212  9.9748674  -4.07275886
 -1.84116098 -7.26357444  1.49743859  9.95160075  4.0176202   1.91425681
 -2.15261814  8.30597521 -0.06166808 -7.31266173 -2.69243074]","[-8.30376818 -3.16146123  4.35278295  6.15863212  9.9748674  -4.07275886
 -1.84116098 -7.26357444  5.18090795 -0.70807975  1.1750657  -0.03015204
  2.18416259 -4.23542915  8.71511779 -1.16256667  1.76684878]","[[-8.30376818  5.18090795]
 [-3.16146123 -0.70807975]
 [ 4.35278295  1.1750657 ]
 [ 6.15863212 -0.03015204]
 [ 9.9748674   2.18416259]
 [-4.07275886 -4.23542915]
 [-1.84116098  8.71511779]
 [-7.26357444 -1.16256667]]",[0.14593465 0.85406535]
1,-3254.9754626066733,5.01973295211792,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,295,"[ 5.47912097 -1.2224312   7.1719584   3.95736058 -8.11645304  9.51244703
  5.22279404  5.72128611 -7.43772735 -0.99228124 -2.58403952  8.54529978
  2.8773024   6.45523227 -1.13171602 -5.45522556  1.09169574]","[ 5.37792708 -0.70399521  1.17530845 -0.03016833  2.17261195 -5.39786659
  9.88856945 -1.35054437 -7.43772735 -0.99228124 -2.58403952  8.54529978
  2.8773024   6.45523227 -1.13171602 -5.45522556 -1.77348726]","[[ 5.37792708 -7.43772735]
 [-0.70399521 -0.99228124]
 [ 1.17530845 -2.58403952]
 [-0.03016833  8.54529978]
 [ 2.17261195  2.8773024 ]
 [-5.39786659  6.45523227]
 [ 9.88856945 -1.13171602]
 [-1.35054437 -5.45522556]]",[0.85489081 0.14510919]
36,-3255.04503301356,4.267819166183472,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,192,"[-4.43955787  4.06066931  2.67539546  9.64611895  2.40715419 -0.44988253
  5.22865126  8.06655744  4.41391893  9.26422447  5.64010341  7.34602877
 -7.71791858  4.64827006 -1.19822601  1.06207605  3.08204819]","[-4.43955787  4.06066931  2.67539546  9.64611895  2.40715419 -0.44988253
  5.22865126  8.06655744  4.97750848 -0.7032708   1.17935352 -0.03004197
  2.1816098  -3.73170339  8.63187943 -0.97095254  1.77887154]","[[-4.43955787  4.97750848]
 [ 4.06066931 -0.7032708 ]
 [ 2.67539546  1.17935352]
 [ 9.64611895 -0.03004197]
 [ 2.40715419  2.1816098 ]
 [-0.44988253 -3.73170339]
 [ 5.22865126  8.63187943]
 [ 8.06655744 -0.97095254]]",[0.14444253 0.85555747]
25,-3256.907644314244,4.2669878005981445,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,154,"[-7.87160936  9.98209461  3.31369472  3.01250031 -8.19118546  7.94066798
 -9.42000994 -5.18343884 -7.1395625   5.53535881 -6.03591546  8.22276454
  3.12538079 -9.27674579 -9.89140332 -8.96684166  2.11850355]","[  4.06578695  -0.56547697   1.35266753  -0.01445948   1.99644169
  -6.92125295  -6.93128451  -1.50037419  -7.1395625    5.53535881
  -6.03591546   8.22276454   3.12538079  -9.27674579  -9.89140332
  -8.96684166 -10.25257249]","[[ 4.06578695 -7.1395625 ]
 [-0.56547697  5.53535881]
 [ 1.35266753 -6.03591546]
 [-0.01445948  8.22276454]
 [ 1.99644169  3.12538079]
 [-6.92125295 -9.27674579]
 [-6.93128451 -9.89140332]
 [-1.50037419 -8.96684166]]",[9.99964735e-01 3.52654171e-05]
16,-3257.1863641859036,4.2799317836761475,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165,"[ 4.9202856   6.33137527 -7.8944384  -8.65882286  1.88867328 -7.07653512
  6.49328381 -3.79330652 -7.12256134  8.41940945 -6.68936555 -4.29559835
 -6.9277321  -7.69019873 -9.57703967 -8.89209182 -6.50717058]","[ 4.9202856   6.33137527 -7.8944384  -8.65882286  1.88867328 -7.07653512
  6.49328381 -3.79330652  3.98661199 -0.56708331  1.35093022 -0.01438821
  2.00188477 -6.0570619  -8.65403155 -1.41739526 10.22840152]","[[ 4.9202856   3.98661199]
 [ 6.33137527 -0.56708331]
 [-7.8944384   1.35093022]
 [-8.65882286 -0.01438821]
 [ 1.88867328  2.00188477]
 [-7.07653512 -6.0570619 ]
 [ 6.49328381 -8.65403155]
 [-3.79330652 -1.41739526]]",[3.61281705e-05 9.99963872e-01]
39,-3257.5262210493875,4.086713790893555,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,152,"[-9.9099975   0.29258684  3.54574799 -9.39785422 -1.97288885  7.91269763
  3.43225618 -5.24683273  7.05562259 -3.03937153  7.06689342 -4.01112698
  1.80640502 -2.06119865 -4.50349898  7.73115124 -6.24812636]","[-9.90999750e+00  2.92586842e-01  3.54574799e+00 -9.39785422e+00
 -1.97288885e+00  7.91269763e+00  3.43225618e+00 -5.24683273e+00
  2.87551149e+00 -5.72967286e-01  1.36212021e+00 -1.41073131e-02
  2.00122760e+00 -6.72597155e+00 -5.29414007e+00 -3.41069994e-01
  3.16030449e+01]","[[-9.9099975   2.87551149]
 [ 0.29258684 -0.57296729]
 [ 3.54574799  1.36212021]
 [-9.39785422 -0.01410731]
 [-1.97288885  2.0012276 ]
 [ 7.91269763 -6.72597155]
 [ 3.43225618 -5.29414007]
 [-5.24683273 -0.34106999]]",[1.88352753e-14 1.00000000e+00]
23,-3257.710914166747,4.45681095123291,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,214,"[-6.84776703 -7.04433255  8.72254927 -1.23191926 -2.33360354  4.59371417
  1.05986131  8.72279974  5.60602988 -0.41260872 -2.47281053  9.7426309
  4.35520472  9.0238932  -7.63042846  7.01067358  2.74147768]","[  3.47422134  -0.56288071   1.35410175  -0.01463559   1.99839989
  -7.91358109  -2.05135137  -0.92776358   5.60367174  -0.412302
  -2.47446086   9.43973907   4.35254293   9.02386636  -7.63045452
   7.0083858  -13.96334296]","[[ 3.47422134  5.60367174]
 [-0.56288071 -0.412302  ]
 [ 1.35410175 -2.47446086]
 [-0.01463559  9.43973907]
 [ 1.99839989  4.35254293]
 [-7.91358109  9.02386636]
 [-2.05135137 -7.63045452]
 [-0.92776358  7.0083858 ]]",[9.99999137e-01 8.62574928e-07]
34,-3257.794943357245,4.479923963546753,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,237,"[-5.12665092  6.8717677   2.75177401  2.992981    3.40406511  5.25806038
 -8.83783037 -2.6678323   0.79054871 -3.23087033  6.88957747 -0.33854983
  5.37255179  7.04031034  0.09582966  8.19104488  1.74247881]","[-5.12844456e+00  6.87234214e+00  2.75074621e+00  2.74641715e+00
  3.40170277e+00  5.25804223e+00 -8.83785154e+00 -2.66956508e+00
  3.36403635e+00 -5.62627676e-01  1.35417327e+00 -1.46615602e-02
  2.00104873e+00 -7.75823683e+00 -1.75960427e+00 -8.20160804e-01
  2.03118820e+01]","[[-5.12844456  3.36403635]
 [ 6.87234214 -0.56262768]
 [ 2.75074621  1.35417327]
 [ 2.74641715 -0.01466156]
 [ 3.40170277  2.00104873]
 [ 5.25804223 -7.75823683]
 [-8.83785154 -1.75960427]
 [-2.66956508 -0.8201608 ]]",[1.50890441e-09 9.99999998e-01]
10,-3257.8964017806366,3.9474549293518066,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,148,"[ 1.08072287 -7.82848518  3.44480186 -4.36532432  3.18845269  4.53989229
  5.37294984 -7.84518108  8.3202369  -5.39572018 -9.25174888  1.10704939
 -2.58155432  6.59579486  6.16502944 -3.65722214  9.0579879 ]","[ 1.08072287 -7.82848518  3.44480186 -4.36532432  3.18845269  4.53989229
  5.37294984 -7.84518108  3.53493293 -0.56383949  1.35605376 -0.01458487
  1.99578606 -8.25216365 -1.83924445 -0.99394331 10.38784801]","[[ 1.08072287  3.53493293]
 [-7.82848518 -0.56383949]
 [ 3.44480186  1.35605376]
 [-4.36532432 -0.01458487]
 [ 3.18845269  1.99578606]
 [ 4.53989229 -8.25216365]
 [ 5.37294984 -1.83924445]
 [-7.84518108 -0.99394331]]",[3.08036055e-05 9.99969196e-01]
