start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_theta,opt_theta,opt_beta,opt_mu_prob
4,-3211.716414198019,5.418741703033447,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,402,"[-1.29540294 -0.30444189 -3.10528641 -3.70078495 -0.24295074 -2.72090651
  1.69813995 -0.62848081  3.32678196  2.00265102 -1.87633359]","[ 6.1574777   0.98528744  5.48675978 -1.59646224  1.04055558 -0.02594749
  1.55569123 -9.08310952 -1.12524305 -0.81599335  2.03293269]","[[ 6.1574777   5.48675978]
 [ 0.98528744 -1.59646224]
 [ 1.04055558  1.04055558]
 [-0.02594749 -0.02594749]
 [ 1.55569123  1.55569123]
 [-9.08310952 -9.08310952]
 [-1.12524305 -1.12524305]
 [-0.81599335 -0.81599335]]",[0.11578833 0.88421167]
12,-3217.3600869846264,5.45333194732666,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,425,"[ 1.49846602 -4.15555679 -0.84192598 -4.58385826 -0.06009181 -1.69138788
 -3.55475811 -3.96597032  0.87644572 -3.29407031  4.25120118]","[ 4.39724892  1.14659807  3.58950632 -1.44302413  1.01361941 -0.02768047
  1.61316668 -4.66009076  0.56578733  1.27089166  2.17144006]","[[ 4.39724892  3.58950632]
 [ 1.14659807 -1.44302413]
 [ 1.01361941  1.01361941]
 [-0.02768047 -0.02768047]
 [ 1.61316668  1.61316668]
 [-4.66009076 -4.66009076]
 [ 0.56578733  0.56578733]
 [ 1.27089166  1.27089166]]",[0.10234466 0.89765534]
13,-3217.496645574345,4.346934080123901,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,230,"[ 0.8106114  -1.53130195  0.90915491 -4.77196129  4.58559213 -0.16696563
  2.82735227 -4.1727     -0.13341669 -0.09293006  4.37826455]","[ 4.66653305  1.09377575  3.8920787  -1.41362832  1.02889667 -0.02689143
  1.63647058 -4.35517848 -0.0868363   0.79886139  2.13553407]","[[ 4.66653305  3.8920787 ]
 [ 1.09377575 -1.41362832]
 [ 1.02889667  1.02889667]
 [-0.02689143 -0.02689143]
 [ 1.63647058  1.63647058]
 [-4.35517848 -4.35517848]
 [-0.0868363  -0.0868363 ]
 [ 0.79886139  0.79886139]]",[0.10569077 0.89430923]
5,-3218.9376508165738,4.100666046142578,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180,"[ 3.32259801  3.04764357 -1.12521621 -2.11671896  1.82495504 -3.59247516
 -3.00091798 -4.9263773   2.86924378  1.64850857  2.05165379]","[ 2.5730095   1.25212249  1.64836058 -1.35942727  1.02273579 -0.02650503
  1.59578108 -4.98444692  2.81160757  3.12378349  2.27667478]","[[ 2.5730095   1.64836058]
 [ 1.25212249 -1.35942727]
 [ 1.02273579  1.02273579]
 [-0.02650503 -0.02650503]
 [ 1.59578108  1.59578108]
 [-4.98444692 -4.98444692]
 [ 2.81160757  2.81160757]
 [ 3.12378349  3.12378349]]",[0.09307326 0.90692674]
19,-3219.0567562855636,3.9964261054992676,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,179,"[-3.03565334 -1.89676327  2.77404838  4.71826426  0.00741186 -3.55102497
 -4.86063712 -2.7034397  -3.68177782  1.77658674 -3.78167495]","[ 1.26401176 -1.36841934  2.0661278   1.09960414  1.02633734 -0.02569421
  1.6064581  -2.60048873 -3.49309023  3.46902647 -2.21784149]","[[ 1.26401176  2.0661278 ]
 [-1.36841934  1.09960414]
 [ 1.02633734  1.02633734]
 [-0.02569421 -0.02569421]
 [ 1.6064581   1.6064581 ]
 [-2.60048873 -2.60048873]
 [-3.49309023 -3.49309023]
 [ 3.46902647  3.46902647]]",[0.90184028 0.09815972]
2,-3219.248665142846,4.207279682159424,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,223,"[ 4.26764989  1.4386512   3.22761613 -0.56585801 -2.72761278  0.55584787
 -4.36182744  3.27631172  1.31664399  2.5808774  -1.45474032]","[ 1.24305347 -1.36470156  2.03569485  1.08714238  1.04465842 -0.02577496
  1.62325791 -2.27832241 -1.26144377  3.41955925 -2.23398808]","[[ 1.24305347  2.03569485]
 [-1.36470156  1.08714238]
 [ 1.04465842  1.04465842]
 [-0.02577496 -0.02577496]
 [ 1.62325791  1.62325791]
 [-2.27832241 -2.27832241]
 [-1.26144377 -1.26144377]
 [ 3.41955925  3.41955925]]",[0.9032604 0.0967396]
3,-3220.3136563914113,5.204003095626831,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,310,"[ 4.70698024  3.93121121  2.78383497 -3.05361292 -0.33278996 -4.55196234
 -3.45710508  1.83048953  2.44762156  4.67509732 -1.74174642]","[ 1.75089299  1.11923213  0.95477426 -1.33164195  1.0322822  -0.02623817
  1.60304851 -2.37620727  0.34402254  3.80090564  2.22362362]","[[ 1.75089299  0.95477426]
 [ 1.11923213 -1.33164195]
 [ 1.0322822   1.0322822 ]
 [-0.02623817 -0.02623817]
 [ 1.60304851  1.60304851]
 [-2.37620727 -2.37620727]
 [ 0.34402254  0.34402254]
 [ 3.80090564  3.80090564]]",[0.09764905 0.90235095]
7,-3220.341174174182,4.444527864456177,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,209,"[ 0.59207161 -1.96049902 -4.69182165 -0.63282611 -2.85415327 -0.90471356
  3.53403073 -2.66060514 -4.41697258 -2.18616108 -2.06406242]","[ 1.07243229 -1.30954081  1.91366906  1.11877665  1.0381071  -0.02506068
  1.61249899 -2.87294686 -5.31166572  3.61282941 -2.25517591]","[[ 1.07243229  1.91366906]
 [-1.30954081  1.11877665]
 [ 1.0381071   1.0381071 ]
 [-0.02506068 -0.02506068]
 [ 1.61249899  1.61249899]
 [-2.87294686 -2.87294686]
 [-5.31166572 -5.31166572]
 [ 3.61282941  3.61282941]]",[0.90509606 0.09490394]
17,-3221.2290543597255,3.9378178119659424,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165,"[-0.6490294   4.92375564  3.91677266  2.48608019  3.90792491  3.9444664
  0.1885836  -1.84070948  2.72012432  1.61661263 -1.26342271]","[ 1.97102286 -1.32024075  2.6763448   1.04139008  1.03008052 -0.02678716
  1.64719064 -2.30557226  2.46336208  2.71866189 -2.23980102]","[[ 1.97102286  2.6763448 ]
 [-1.32024075  1.04139008]
 [ 1.03008052  1.03008052]
 [-0.02678716 -0.02678716]
 [ 1.64719064  1.64719064]
 [-2.30557226 -2.30557226]
 [ 2.46336208  2.46336208]
 [ 2.71866189  2.71866189]]",[0.90376715 0.09623285]
23,-3223.3190358464963,5.076739072799683,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,333,"[-2.67359258  0.30769591  1.06015821  3.67738954  1.03107157 -0.86428431
 -1.25815957 -0.74117914  1.51931026  3.67490632 -0.46103118]","[ 0.18561925 -1.40078433  0.96868656  1.10116472  1.03884158 -0.02587556
  1.60729086 -0.93174     1.4813407   4.48790853 -2.20811903]","[[ 0.18561925  0.96868656]
 [-1.40078433  1.10116472]
 [ 1.03884158  1.03884158]
 [-0.02587556 -0.02587556]
 [ 1.60729086  1.60729086]
 [-0.93174    -0.93174   ]
 [ 1.4813407   1.4813407 ]
 [ 4.48790853  4.48790853]]",[0.90097624 0.09902376]
18,-3225.7662650356237,4.002707242965698,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,141,"[-4.05533332  2.46789611 -2.37539484  4.36813151 -2.59029425 -3.76242068
  3.31112672 -3.46715683 -3.20731692  0.99382792  3.74562041]","[ 0.58224597  0.92212305 -0.11715231 -1.51922816  1.0382232  -0.02474703
  1.61098033 -3.16035598 -3.00819025  4.7754452   1.95042065]","[[ 0.58224597 -0.11715231]
 [ 0.92212305 -1.51922816]
 [ 1.0382232   1.0382232 ]
 [-0.02474703 -0.02474703]
 [ 1.61098033  1.61098033]
 [-3.16035598 -3.16035598]
 [-3.00819025 -3.00819025]
 [ 4.7754452   4.7754452 ]]",[0.1245075 0.8754925]
14,-3231.498664311347,5.6247758865356445,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,456,"[ 0.71728052 -0.26510599 -2.33024337 -1.68431003  0.20672402 -0.6008854
 -4.7838792   3.26291924  3.96160772 -3.59750911  0.54036144]","[ 2.23428009  1.94897188  1.64800348 -0.70346564  1.53168124 -0.01491683
  1.94688158 -7.30113443 -0.34746521  0.9525935   4.25632383]","[[ 2.23428009  1.64800348]
 [ 1.94897188 -0.70346564]
 [ 1.53168124  1.53168124]
 [-0.01491683 -0.01491683]
 [ 1.94688158  1.94688158]
 [-7.30113443 -7.30113443]
 [-0.34746521 -0.34746521]
 [ 0.9525935   0.9525935 ]]",[0.01397621 0.98602379]
10,-3234.1680218732063,4.157293081283569,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,193,"[ 4.61897665  4.08580691  1.99707134 -2.34130039  4.69176377  2.79750904
  2.16890189 -0.50638498 -2.27758438 -4.03609038  4.02602397]","[ 4.23310549  3.92307674  1.74059521 -0.68269264  1.58406042 -0.01387054
  2.00562431 -4.51995703 -3.53396371  0.60777382  4.55487643]","[[ 4.23310549  1.74059521]
 [ 3.92307674 -0.68269264]
 [ 1.58406042  1.58406042]
 [-0.01387054 -0.01387054]
 [ 2.00562431  2.00562431]
 [-4.51995703 -4.51995703]
 [-3.53396371 -3.53396371]
 [ 0.60777382  0.60777382]]",[0.01040637 0.98959363]
22,-3234.89510660165,4.938683986663818,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,238,"[-0.80885681  4.66231912  0.96042553  4.33023222  3.04360916 -0.31618398
  2.84763449 -4.82163216 -3.90856003  3.29428615  2.96817088]","[ 1.75732246  1.74610827  1.43290715 -0.68211443  1.62582908 -0.01310959
  2.01945504 -4.18265488 -3.20724216  0.77261311  4.21641221]","[[ 1.75732246  1.43290715]
 [ 1.74610827 -0.68211443]
 [ 1.62582908  1.62582908]
 [-0.01310959 -0.01310959]
 [ 2.01945504  2.01945504]
 [-4.18265488 -4.18265488]
 [-3.20724216 -3.20724216]
 [ 0.77261311  0.77261311]]",[0.01453703 0.98546297]
15,-3245.0140446966934,4.6629650592803955,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,288,"[-3.91424259  1.72240093 -2.18766216  1.59422635  2.26994614  2.69647492
 -3.92259054  4.16011845 -2.69786009 -4.62587444  0.54852469]","[ 2.3914108   4.33887429 -0.48101905 -0.66925939  1.58836172 -0.01394902
  2.01804107  1.72771546 -3.16825979  2.80468391  4.55814855]","[[ 2.3914108  -0.48101905]
 [ 4.33887429 -0.66925939]
 [ 1.58836172  1.58836172]
 [-0.01394902 -0.01394902]
 [ 2.01804107  2.01804107]
 [ 1.72771546  1.72771546]
 [-3.16825979 -3.16825979]
 [ 2.80468391  2.80468391]]",[0.01037273 0.98962727]
20,-3246.2832463030563,3.8318698406219482,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,124,"[ 0.06329932  1.94262436  0.81116609 -3.00224348  3.04124526  2.1640713
  2.38984004 -3.68942248 -3.76246196  4.27562551 -1.02421806]","[ 0.93531105  1.11686157  0.1141817  -2.68991288  1.30751235 -0.01768844
  1.14029107 -3.59293947 -3.6840192   3.82551801  1.84687027]","[[ 0.93531105  0.1141817 ]
 [ 1.11686157 -2.68991288]
 [ 1.30751235  1.30751235]
 [-0.01768844 -0.01768844]
 [ 1.14029107  1.14029107]
 [-3.59293947 -3.59293947]
 [-3.6840192  -3.6840192 ]
 [ 3.82551801  3.82551801]]",[0.13624078 0.86375922]
9,-3257.272132306196,4.011431932449341,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,172,"[-3.38728221  0.01044775 -3.47687897  1.96320375 -0.53843724 -1.17978774
 -1.98487911  1.30282593 -1.38187389 -4.12350081 -3.81994098]","[ 3.68364235e+00 -5.50061901e-01 -4.26042238e+00  2.68088562e+00
  1.37369866e+00 -1.44990825e-02  1.97874009e+00 -7.40586852e+00
 -3.92157326e+00 -1.13021810e+00 -1.61255437e+01]","[[ 3.68364235 -4.26042238]
 [-0.5500619   2.68088562]
 [ 1.37369866  1.37369866]
 [-0.01449908 -0.01449908]
 [ 1.97874009  1.97874009]
 [-7.40586852 -7.40586852]
 [-3.92157326 -3.92157326]
 [-1.1302181  -1.1302181 ]]",[9.99999901e-01 9.92579549e-08]
16,-3258.6091885892565,3.952204942703247,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,"[-1.29077716  3.29789743  3.08251472 -1.82861107  4.52899395 -2.08082162
  0.15057129 -2.44034909  4.3604357  -3.35392182 -4.55089381]","[  3.58550139  -0.56275129   0.41462751  -2.29154501   1.35474234
  -0.01468063   1.98954798  -9.12163116  -0.19743462  -1.03757432
 -10.88373671]","[[ 3.58550139  0.41462751]
 [-0.56275129 -2.29154501]
 [ 1.35474234  1.35474234]
 [-0.01468063 -0.01468063]
 [ 1.98954798  1.98954798]
 [-9.12163116 -9.12163116]
 [-0.19743462 -0.19743462]
 [-1.03757432 -1.03757432]]",[9.99981239e-01 1.87605279e-05]
8,-3259.9598446029577,3.6800410747528076,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75,"[ 1.61916515  0.57032152  2.83898209  1.6431354  -0.93613139  3.15020385
 -3.3302708  -4.77287927 -4.09952139  2.22359351 -0.3812277 ]","[ 2.43693072 -2.71972752  1.29532894 -0.5814461   1.35255079 -0.01411074
  2.02012824 -4.73775625 -4.05824154  1.24190942  6.76311259]","[[ 2.43693072  1.29532894]
 [-2.71972752 -0.5814461 ]
 [ 1.35255079  1.35255079]
 [-0.01411074 -0.01411074]
 [ 2.02012824  2.02012824]
 [-4.73775625 -4.73775625]
 [-4.05824154 -4.05824154]
 [ 1.24190942  1.24190942]]",[0.00115429 0.99884571]
11,-3263.7207236246977,3.959199905395508,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,148,"[-0.4422371  -2.97636635 -1.94043376  0.79219569 -3.23227217  3.57614284
  2.5851953   2.19462956 -0.6790696   1.27308841  0.84097969]","[ 1.79706254e-01 -5.94350681e-01 -6.00196584e+00  9.16016191e-01
  1.38516311e+00 -1.40533057e-02  2.03844528e+00 -1.97017451e+00
 -2.22624191e+00  2.26480303e+00 -1.85259780e+01]","[[ 0.17970625 -6.00196584]
 [-0.59435068  0.91601619]
 [ 1.38516311  1.38516311]
 [-0.01405331 -0.01405331]
 [ 2.03844528  2.03844528]
 [-1.97017451 -1.97017451]
 [-2.22624191 -2.22624191]
 [ 2.26480303  2.26480303]]",[9.99999991e-01 9.00056923e-09]
21,-3264.726813501792,3.7192790508270264,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88,"[-1.99051308 -0.11415955  1.62864213  4.55623257 -2.13553773  4.25808429
 -4.75140509  0.55198042  1.33975112 -3.94102596 -3.59660403]","[ 0.053813   -0.58494133  4.75103708  1.65438393  1.38252216 -0.0140651
  2.01901505 -2.83832255  0.04401033  2.3793316  -3.96526206]","[[ 0.053813    4.75103708]
 [-0.58494133  1.65438393]
 [ 1.38252216  1.38252216]
 [-0.0140651  -0.0140651 ]
 [ 2.01901505  2.01901505]
 [-2.83832255 -2.83832255]
 [ 0.04401033  0.04401033]
 [ 2.3793316   2.3793316 ]]",[0.98138984 0.01861016]
0,-3266.925407776109,6.409221887588501,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,[0.   0.   0.   0.   0.   0.01 0.   0.   0.   0.   0.  ],"[ 0.80707109 -0.54746634  0.80707109 -0.54746634  1.34419545 -0.01544202
  2.04918558 -0.20778036 -0.07471305  1.73996632  0.        ]","[[ 0.80707109  0.80707109]
 [-0.54746634 -0.54746634]
 [ 1.34419545  1.34419545]
 [-0.01544202 -0.01544202]
 [ 2.04918558  2.04918558]
 [-0.20778036 -0.20778036]
 [-0.07471305 -0.07471305]
 [ 1.73996632  1.73996632]]",[0.5 0.5]
6,-3273.3314344830524,3.462246894836426,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72,"[ 2.80729031 -0.41084224  0.68741196 -3.60203002 -3.85469926  1.69402962
 -0.28903794  0.65236106  2.64998857  1.3471832   0.53579401]","[ 0.83858996 -0.59735342  3.37117874 -3.42700914  1.37255359 -0.01654074
  1.99088137  0.675353    2.69887377  1.70393136 -2.26455154]","[[ 0.83858996  3.37117874]
 [-0.59735342 -3.42700914]
 [ 1.37255359  1.37255359]
 [-0.01654074 -0.01654074]
 [ 1.99088137  1.99088137]
 [ 0.675353    0.675353  ]
 [ 2.69887377  2.69887377]
 [ 1.70393136  1.70393136]]",[0.90589835 0.09410165]
1,-3279.460462245865,3.7098357677459717,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,"[ 2.73956049 -0.6112156   3.5859792   1.97368029 -4.05822652  4.76622352
  2.61139702  2.86064305 -3.71886367 -0.49614062 -1.29201976]","[ 2.37261627 -0.55133487  4.90535488 -0.2020683   1.34775268 -0.01637806
  2.02517961  2.75173076 -3.72467515  0.21690141 -3.62711889]","[[ 2.37261627  4.90535488]
 [-0.55133487 -0.2020683 ]
 [ 1.34775268  1.34775268]
 [-0.01637806 -0.01637806]
 [ 2.02517961  2.02517961]
 [ 2.75173076  2.75173076]
 [-3.72467515 -3.72467515]
 [ 0.21690141  0.21690141]]",[0.97409616 0.02590384]
