start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_theta,opt_theta,opt_beta,opt_mu_prob
4,-12430.700518407008,221.26250004768372,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,907,"[ 1.09497302 -2.1614851  -1.80055079 -2.95582638  1.72154627  0.98910514
  1.23099227  1.68437419 -0.24650535  0.41244718 -2.16121801 -2.31281956
  1.01041777 -0.16342276  0.39141664  1.58999314]","[ 1.01085459 -2.38457584 -4.28140965 -4.4928437  -0.35013327  4.66150802
  6.22997094  0.42174434 -0.6556242  -0.42315291 -0.98408429 -1.11356598
  0.93967473 -0.02857422  1.60165509 -1.53267307]","[[ 1.01085459  6.22997094]
 [-2.38457584  0.42174434]
 [ 0.93967473  0.93967473]
 [-0.02857422 -0.02857422]
 [ 1.60165509  1.60165509]
 [-4.28140965 -0.6556242 ]
 [-4.4928437  -0.42315291]
 [-0.35013327 -0.98408429]
 [ 4.66150802 -1.11356598]]",[0.82239708 0.17760292]
1,-12434.958284582633,219.41787910461426,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,951,"[ 1.64373629 -0.36672936  2.15158752  1.18420817 -2.43493591  2.85373411
  1.56683821  1.71638583 -2.2313182  -0.29768437 -0.77521185  2.56058993
  0.86319072  1.94656968 -0.33951481 -1.63656767]","[-0.11399963 -2.41057773 -3.07276484 -3.09309325 -5.49947139  5.91872977
  5.81949985  0.19162817 -0.68051347 -0.40171932 -0.96488847 -1.17268011
  0.97146518 -0.02694213  1.70445352 -1.28255958]","[[-0.11399963  5.81949985]
 [-2.41057773  0.19162817]
 [ 0.97146518  0.97146518]
 [-0.02694213 -0.02694213]
 [ 1.70445352  1.70445352]
 [-3.07276484 -0.68051347]
 [-3.09309325 -0.40171932]
 [-5.49947139 -0.96488847]
 [ 5.91872977 -1.17268011]]",[0.78288516 0.21711484]
6,-12510.68844980381,241.4867866039276,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1196,"[ 0.98588124 -0.56167883  1.88412231 -1.99816248 -2.86372756 -2.45971284
  1.3341561  -0.22873662 -2.03236933  0.00626865 -2.08612738  1.17792225
 -0.32306235 -0.70387264 -1.19092747  0.78169556]","[  0.2013041   -1.09100026  -1.83908674 -17.32188633   4.63341321
   4.64038772   9.67168309  -0.92363121  -2.69654693  -1.8148374
  -4.36772883  -5.63250156   1.00020965  -0.02525647   1.8078866
  -1.5719984 ]","[[  0.2013041    9.67168309]
 [ -1.09100026  -0.92363121]
 [  1.00020965   1.00020965]
 [ -0.02525647  -0.02525647]
 [  1.8078866    1.8078866 ]
 [ -1.83908674  -2.69654693]
 [-17.32188633  -1.8148374 ]
 [  4.63341321  -4.36772883]
 [  4.64038772  -5.63250156]]",[0.82806831 0.17193169]
9,-12566.048279056398,189.57673406600952,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,514,"[-2.37958219  0.52586743 -1.97644219  2.55072071  0.48636684 -0.91878117
  0.54549295 -2.86317677  2.75135528 -0.10617938  1.69641136 -2.50362
 -0.08005001 -0.04575803  2.62695873  0.43036831]","[ 4.4647939   0.16530816 -4.06051284  1.88659492  0.60055051  0.0811259
  1.47891698 -1.14095277  3.35794295 -0.88476644 -3.51657616  3.39235452
  1.0272603  -0.02566274  1.76460718  1.6698895 ]","[[ 4.4647939   1.47891698]
 [ 0.16530816 -1.14095277]
 [ 1.0272603   1.0272603 ]
 [-0.02566274 -0.02566274]
 [ 1.76460718  1.76460718]
 [-4.06051284  3.35794295]
 [ 1.88659492 -0.88476644]
 [ 0.60055051 -3.51657616]
 [ 0.0811259   3.39235452]]",[0.15843891 0.84156109]
2,-12625.631193414454,187.14159965515137,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,500,"[ 0.32750872 -2.61709646  1.96578703  0.78998639  1.54852644 -0.87284419
  2.82418815  2.35872673  1.67030098 -1.83216775 -0.19967398 -2.73717741
 -2.07426305  1.10829372  1.46857294  2.80505839]","[ 4.37346188 -0.84504204 -0.55867716 -0.11000568 -0.281099   -0.79248373
  2.5328538   0.51853864 -0.82122393 -1.29077552  1.28730022 -2.808634
  1.28606764 -0.02503839  2.17758794 -5.20754143]","[[ 4.37346188  2.5328538 ]
 [-0.84504204  0.51853864]
 [ 1.28606764  1.28606764]
 [-0.02503839 -0.02503839]
 [ 2.17758794  2.17758794]
 [-0.55867716 -0.82122393]
 [-0.11000568 -1.29077552]
 [-0.281099    1.28730022]
 [-0.79248373 -2.808634  ]]",[0.9945547 0.0054453]
3,-12627.574704900344,170.68480324745178,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,418,"[-1.04504785 -0.77724176 -0.18266513 -1.86317185 -2.22047097 -0.14577044
 -1.63854391  1.01888397 -0.37708849  1.99606918  1.20159061 -1.12580015
  1.99355881  1.83858614 -0.67512973 -1.27003138]","[ 4.13669953 -0.85235315 -0.7368607   0.04190919 -0.27197821 -0.75892681
  1.78853101  0.60791596 -0.58776555  1.55188042  0.90884174  1.17254989
  1.33124596 -0.02368748  2.1733102  -4.85279591]","[[ 4.13669953  1.78853101]
 [-0.85235315  0.60791596]
 [ 1.33124596  1.33124596]
 [-0.02368748 -0.02368748]
 [ 2.1733102   2.1733102 ]
 [-0.7368607  -0.58776555]
 [ 0.04190919  1.55188042]
 [-0.27197821  0.90884174]
 [-0.75892681  1.17254989]]",[0.99225395 0.00774605]
10,-12630.22268785219,177.65865635871887,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,335,"[-0.15906359 -1.39814602 -1.01058602  0.12403441 -0.36653124 -2.87032752
  1.95775155  2.37696463 -2.15850547  0.32421686 -2.34854555  1.03344056
 -1.3125973   0.96653581  1.36196769  1.61188495]","[ 3.88914452 -0.81459392 -0.33477023 -0.06295627 -0.06158701 -0.54087584
  2.15951632  0.71145426 -1.70973474  0.4206723  -2.06213226  1.24496377
  1.33209886 -0.02352297  2.18408094 -4.74363748]","[[ 3.88914452  2.15951632]
 [-0.81459392  0.71145426]
 [ 1.33209886  1.33209886]
 [-0.02352297 -0.02352297]
 [ 2.18408094  2.18408094]
 [-0.33477023 -1.70973474]
 [-0.06295627  0.4206723 ]
 [-0.06158701 -2.06213226]
 [-0.54087584  1.24496377]]",[0.99136824 0.00863176]
8,-12638.140198815196,198.7147514820099,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,645,"[-1.16426026  0.47531741 -1.9393633   2.1396857   1.55111718  1.31677774
 -0.40744176  0.76385304  0.50458781  0.89907961 -2.49333407 -0.50515559
 -2.75031496 -0.02605508 -1.02083273 -2.13285487]","[ 4.51775156 -0.8549243  -0.68843775  0.01763825 -0.35905987 -0.86620061
  2.52590044  0.53914377  0.45796217  1.75329708 -1.90424486 -1.30000296
  1.23100186 -0.02557841  2.20378767 -5.67353531]","[[ 4.51775156  2.52590044]
 [-0.8549243   0.53914377]
 [ 1.23100186  1.23100186]
 [-0.02557841 -0.02557841]
 [ 2.20378767  2.20378767]
 [-0.68843775  0.45796217]
 [ 0.01763825  1.75329708]
 [-0.35905987 -1.90424486]
 [-0.86620061 -1.30000296]]",[0.99657607 0.00342393]
5,-12683.632932081211,166.06005239486694,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,141,"[ 0.80830992  0.3214764   0.35524296 -1.17629941 -2.81509299 -0.37969566
 -1.71249196 -0.54882814  2.12041844 -1.59636308 -2.65018355 -1.31169665
 -1.23843745  0.98149909  0.34219291  1.70338925]","[ 3.97599507 -0.75053243 -0.42425971 -0.05214154 -0.08846397 -0.55940198
 -1.64220323 -0.72154038  2.31907884 -1.57551966 -2.63363492 -2.05777871
  1.18037911 -0.0238384   2.23223687 -9.85438886]","[[ 3.97599507 -1.64220323]
 [-0.75053243 -0.72154038]
 [ 1.18037911  1.18037911]
 [-0.0238384  -0.0238384 ]
 [ 2.23223687  2.23223687]
 [-0.42425971  2.31907884]
 [-0.05214154 -1.57551966]
 [-0.08846397 -2.63363492]
 [-0.55940198 -2.05777871]]",[9.99947487e-01 5.25134427e-05]
7,-12687.332309995643,173.0949695110321,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,206,"[-0.82912434 -2.47410048 -2.29196459  2.77138599  2.45148414  1.1982428
 -1.40478023  2.81505826  1.67250542  1.30134113 -0.30383099 -1.36655063
 -2.42165423  2.42561438 -0.26534226 -1.78581981]","[ 4.21190887e+00 -7.72932892e-01 -6.15056069e-01 -3.77716586e-03
 -2.51025397e-01 -7.28608292e-01 -6.16422545e-01 -4.65704629e-02
  1.84407079e+00  1.50342068e+00 -2.13215331e-01 -1.41906644e+00
  1.17218671e+00 -2.43546979e-02  2.23766721e+00 -1.67746713e+01]","[[ 4.21190887e+00 -6.16422545e-01]
 [-7.72932892e-01 -4.65704629e-02]
 [ 1.17218671e+00  1.17218671e+00]
 [-2.43546979e-02 -2.43546979e-02]
 [ 2.23766721e+00  2.23766721e+00]
 [-6.15056069e-01  1.84407079e+00]
 [-3.77716586e-03  1.50342068e+00]
 [-2.51025397e-01 -2.13215331e-01]
 [-7.28608292e-01 -1.41906644e+00]]",[9.99999948e-01 5.18624242e-08]
11,-12687.889953587339,176.838073015213,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,201,"[-2.35355432  2.49607107 -1.61871605 -2.77552466  0.32911482 -0.7744663
  1.97873846  1.84950883 -1.09716664  2.71739637 -1.25449297  0.09034278
 -1.46420946  2.62626142 -2.01235309 -2.73053628]","[  4.05379455  -0.76694404  -0.53467806   0.03926817  -0.20984815
  -0.66111737   1.30255668   2.12939277  -1.01222933   2.72115531
  -1.23741909  -0.91049389   1.18581205  -0.02380502   2.24574879
 -13.14862593]","[[ 4.05379455  1.30255668]
 [-0.76694404  2.12939277]
 [ 1.18581205  1.18581205]
 [-0.02380502 -0.02380502]
 [ 2.24574879  2.24574879]
 [-0.53467806 -1.01222933]
 [ 0.03926817  2.72115531]
 [-0.20984815 -1.23741909]
 [-0.66111737 -0.91049389]]",[9.99998052e-01 1.94815482e-06]
