start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_theta,opt_theta,opt_beta,opt_mu_prob
10,-12690.80796541649,85.96030139923096,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,248,"[-0.56167883  1.88412231 -1.99816248 -2.85372756 -2.45971284  1.3341561
 -0.22873662 -2.03236933  0.00626865]","[ 4.29774256 -0.76453825  1.12877042 -0.02498454  2.25380474 -0.53540428
 -0.00856352 -0.23657144 -0.72154167]","[[ 4.29774256]
 [-0.76453825]
 [ 1.12877042]
 [-0.02498454]
 [ 2.25380474]
 [-0.53540428]
 [-0.00856352]
 [-0.23657144]
 [-0.72154167]]",[1.]
2,-12690.842025664768,81.47264432907104,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,172,"[-0.29768437 -0.77521185  2.56058993  0.87319072  1.93656968 -0.33951481
 -1.63656767  0.32750872 -2.61709646]","[ 4.28741508 -0.76720385  1.13184322 -0.02496928  2.25667769 -0.51701272
  0.03376811 -0.2465406  -0.71907337]","[[ 4.28741508]
 [-0.76720385]
 [ 1.13184322]
 [-0.02496928]
 [ 2.25667769]
 [-0.51701272]
 [ 0.03376811]
 [-0.2465406 ]
 [-0.71907337]]",[1.]
1,-12690.925864413759,78.067697763443,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,257,"[ 1.64373629 -0.36672936  2.15158752  1.19420817 -2.43493591  2.85373411
  1.56683821  1.71638583 -2.2313182 ]","[ 4.32781247 -0.76390534  1.12329014 -0.02517206  2.25091644 -0.53326477
 -0.03758062 -0.22533844 -0.71886011]","[[ 4.32781247]
 [-0.76390534]
 [ 1.12329014]
 [-0.02517206]
 [ 2.25091644]
 [-0.53326477]
 [-0.03758062]
 [-0.22533844]
 [-0.71886011]]",[1.]
9,-12690.928535823265,88.18037009239197,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,295,"[ 2.12041844 -1.59636308 -2.65018355 -1.30169665 -1.23843745  0.97149909
  0.34219291  1.70338925  0.98588124]","[ 4.30420401 -0.76947888  1.11214897 -0.02514225  2.26823786 -0.53248501
  0.03176153 -0.23652536 -0.71219531]","[[ 4.30420401]
 [-0.76947888]
 [ 1.11214897]
 [-0.02514225]
 [ 2.26823786]
 [-0.53248501]
 [ 0.03176153]
 [-0.23652536]
 [-0.71219531]]",[1.]
6,-12691.031226374495,80.41460394859314,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189,"[ 1.82858614 -0.67512973 -1.27003138  1.10497302 -2.1614851  -1.80055079
 -2.95582638  1.72154627  0.98910514]","[ 4.20896216 -0.76281059  1.12346448 -0.02471755  2.26966607 -0.51014153
  0.05347233 -0.21452084 -0.68236424]","[[ 4.20896216]
 [-0.76281059]
 [ 1.12346448]
 [-0.02471755]
 [ 2.26966607]
 [-0.51014153]
 [ 0.05347233]
 [-0.21452084]
 [-0.68236424]]",[1.]
7,-12691.131581917996,83.67849850654602,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,256,"[ 1.23099227  1.68437419 -0.24650535  0.42244718 -2.16121801 -2.31281956
  1.01041777 -0.17342276  0.39141664]","[ 4.31435298 -0.78071838  1.14636069 -0.0248439   2.2618967  -0.54050496
 -0.08625201 -0.28294048 -0.77762516]","[[ 4.31435298]
 [-0.78071838]
 [ 1.14636069]
 [-0.0248439 ]
 [ 2.2618967 ]
 [-0.54050496]
 [-0.08625201]
 [-0.28294048]
 [-0.77762516]]",[1.]
5,-12691.154270966017,84.8897693157196,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,234,"[-2.22047097 -0.14577044 -1.63854391  1.02888397 -0.37708849  1.99606918
  1.20159061 -1.12580015  1.99355881]","[ 4.24582439 -0.77333244  1.14196995 -0.02465129  2.25819005 -0.63148187
  0.05959993 -0.2539812  -0.72857595]","[[ 4.24582439]
 [-0.77333244]
 [ 1.14196995]
 [-0.02465129]
 [ 2.25819005]
 [-0.63148187]
 [ 0.05959993]
 [-0.2539812 ]
 [-0.72857595]]",[1.]
3,-12691.558439993874,84.91609334945679,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,308,"[ 1.96578703  0.78998639  1.54852644 -0.86284419  2.82418815  2.35872673
  1.67030098 -1.83216775 -0.19967398]","[ 4.23755701 -0.78297763  1.1407447  -0.02500966  2.26553972 -0.56354351
  0.18504598 -0.22156519 -0.68078708]","[[ 4.23755701]
 [-0.78297763]
 [ 1.1407447 ]
 [-0.02500966]
 [ 2.26553972]
 [-0.56354351]
 [ 0.18504598]
 [-0.22156519]
 [-0.68078708]]",[1.]
0,-12691.573830907671,87.3674669265747,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,208,[0.   0.   0.   0.01 0.   0.   0.   0.   0.  ],"[ 4.23767637 -0.76134205  1.12799148 -0.02505982  2.25138099 -0.59920491
  0.17835569 -0.1741378  -0.6467503 ]","[[ 4.23767637]
 [-0.76134205]
 [ 1.12799148]
 [-0.02505982]
 [ 2.25138099]
 [-0.59920491]
 [ 0.17835569]
 [-0.1741378 ]
 [-0.6467503 ]]",[1.]
4,-12692.230894215421,78.82927799224854,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,192,"[-2.73717741 -2.07426305  1.09829372  1.47857294  2.80505839 -1.04504785
 -0.77724176 -0.18266513 -1.86317185]","[ 4.17681376 -0.7636026   1.13603802 -0.02493993  2.2548367  -0.6228905
  0.21739396 -0.14037997 -0.60825224]","[[ 4.17681376]
 [-0.7636026 ]
 [ 1.13603802]
 [-0.02493993]
 [ 2.2548367 ]
 [-0.6228905 ]
 [ 0.21739396]
 [-0.14037997]
 [-0.60825224]]",[1.]
