start_idx,achieved_ll,elapsed_time,success,message,num_iter,start_theta,opt_theta
14,-1364.3159462039498,1.432811975479126,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,210,"[ 1.88625712 -1.31629004  1.66376284 -0.44613417  1.08267673 -1.88413092
 -1.10689389  1.21978277 -1.529979  ]","[ 2.64624972 -0.50039733  0.83512533 -0.02795802  2.35481778 -5.1848036
 -0.77941607 11.51394041  1.08352363]"
5,-1364.6622194741026,1.31758713722229,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,157,"[ 1.61279544 -0.46857443 -0.98933984  1.41354241 -0.78090454  1.28629544
  1.50683719 -0.15209283 -0.56821701]","[ 2.31764615 -0.50762098  0.846852   -0.02784562  2.34327824 -5.24495866
 -0.19880657 12.06165491  1.38952772]"
2,-1377.6575477677504,1.181103229522705,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,"[ 0.48567957 -0.78514381 -0.26531848 -0.97004084 -1.04332173  0.24338703
 -1.35180645 -1.8695047  -1.96007358]","[ 1.30260784 -0.44494308  1.01243783 -0.01341538  2.10432528 -5.07899747
 -6.42299762  1.11240119  1.68948815]"
11,-1379.1007978903226,1.0961589813232422,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83,"[-0.71801485  0.48188797 -0.16394811 -0.540469   -0.08707733 -0.53083584
 -0.28294786  1.52495833  0.00820301]","[-0.53545349 -0.46795532  1.0184469  -0.0138515   2.07761636 -2.00572624
 -1.64737712  1.50405479  3.56763664]"
7,-1379.238528357113,1.066411018371582,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100,"[-1.76599962  0.94022521  1.30207702 -1.78377435 -0.01292193 -0.75358567
 -0.34609204 -1.04560387 -1.67867523]","[-0.24073517 -0.46921628  1.01392275 -0.01379962  2.08503212 -2.27271949
 -1.60398556 -0.81318525  3.38803187]"
17,-1379.251552770785,0.9779331684112549,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74,"[-1.10530115 -0.77951163 -1.6750146  -1.79652808  0.75008125 -1.54940545
 -1.85586155  0.58411156  1.46521728]","[ 0.31062355 -0.45408547  0.99607676 -0.01464586  2.08642938 -1.57860081
 -1.87259467  0.67690593  2.74373306]"
0,-1379.3629143103951,2.5372867584228516,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,[0.   0.   0.   0.01 0.   0.   0.   0.   0.  ],"[-0.47972431 -0.46689369  1.01377089 -0.01387225  2.07837164 -1.72303417
 -1.42482972  0.05819131  3.59615294]"
10,-1379.3713005318525,1.0802721977233887,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,"[ 1.19273455 -0.86225185 -0.93755194  2.00311913  1.11933658  0.88067335
  0.12137219 -0.39605246 -0.43855584]","[-0.50698731 -0.46856897  1.01568801 -0.01383016  2.08118792 -1.65307362
 -1.44794462  0.10268498  3.61260286]"
18,-1379.395144488331,1.193810224533081,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128,"[ 0.05348911  0.76346583 -1.86447119  0.47582953  1.32708988  1.32018798
 -0.69964168  0.58742053  0.22909959]","[-0.71504876 -0.46855852  1.01552287 -0.01381825  2.08052839 -0.71659608
 -2.06348453  0.67758877  3.81788246]"
8,-1379.4984254094775,1.1815009117126465,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,117,"[ 1.6587035   0.57798312 -1.19288899  1.3072214   1.23107449 -0.33463702
  0.8162189  -1.70669008 -0.79769724]","[-0.21098298 -0.46821967  1.01606205 -0.0137739   2.08485902 -2.55946903
 -0.96810427 -1.38789953  3.36616213]"
15,-1379.616340381661,1.0297980308532715,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98,"[-1.09788363  0.36786361  0.37049196 -1.8279042  -1.82925399  0.49388764
  0.9497106   1.02418906 -1.20121348]","[-0.79889491 -0.4702633   1.02118198 -0.01383035  2.0747156  -1.64864694
 -0.79305808  1.29072253  3.83642206]"
12,-1379.673475587288,1.1119778156280518,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,118,"[ 1.21543748 -0.73863851 -1.65099172  1.1113524  -0.24841601  0.00835467
  0.52812809 -0.65917858  1.51073937]","[-0.56293268 -0.46913163  1.01637465 -0.01376779  2.08116027 -1.67471306
 -0.96505095 -0.64689354  3.70133532]"
19,-1380.2363559515256,1.0508668422698975,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,"[-9.91632423e-01  3.94404427e-01 -6.74599565e-02 -1.88526887e+00
 -1.50219707e+00  1.53225680e-03  1.72905567e+00 -1.61715234e+00
 -7.05947007e-01]","[-0.68785506 -0.46987967  1.01858638 -0.01370648  2.07947741 -1.80822449
  0.06628158 -1.44122661  3.85018769]"
6,-1380.4625951394032,1.1350557804107666,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110,"[-0.44497915 -1.55437605 -1.78457733  1.83948832 -0.86153889  1.99227096
  1.4026742  -0.42024999  0.0693396 ]","[-1.13471606 -0.46959382  1.01966233 -0.01371443  2.075229   -0.30567991
 -0.32371673 -0.25900938  4.26760928]"
